rank,country_name,gdp_per_cap_ppp,gdp_per_cap_nom,gdp_per_cap_world
1,Qatar,128647,61264,752
2,Macau,115367,80890,675
3,Luxembourg,107641,105280,629
4,Singapore,94105,56746,550
5,Brunei,79003,28572,462
6,Ireland,76745,69727,449
7,United Arab Emirates,74035,40325,433
8,Kuwait,72096,29616,422
9,Switzerland,66307,80296,388
10,San Marino,63549,48495,372
11,Norway,62183,75428,364
12,Hong Kong,61671,46733,361
13,United States,59928,59939,350
14,Iceland,55322,73233,324
15,Netherlands,54422,48796,318
16,Denmark,54356,57545,318
17,Saudi Arabia,53893,20747,315
18,Austria,53879,47261,315
19,Germany,52556,44680,307
20,Sweden,51405,54075,301
21,Australia,49378,53831,289
22,Belgium,49367,43325,289
23,Bahrain,47708,23715,279
24,Canada,46510,44841,272
25,Finland,46344,45778,271
26,United Kingdom,44920,39532,263
27,France,44033,39827,258
28,Japan,42067,38214,246
29,Oman,41331,15170,242
30,Italy,40924,32038,239
31,Malta,40797,28585,239
32,New Zealand,40748,43415,238
33,Aruba,39493,25630,231
34,Spain,39037,28175,228
35,Israel,38868,42852,227
36,South Korea,38824,29958,227
37,Czech Republic,38020,20291,222
38,Slovenia,36387,23488,213
39,Cyprus,36012,18695,211
40,Estonia,33448,20170,196
41,Lithuania,33253,16709,194
42,Portugal,32554,21316,190
43,Slovakia,32371,17551,189
44,Trinidad and Tobago,31645,15952,185
45,Bahamas,30495,31858,178
46,Poland,29924,13871,175
47,Malaysia,29511,10118,173
48,Seychelles,29328,15536,172
49,Hungary,28799,14364,168
50,Saint Kitts and Nevis,28636,19061,167
51,Greece,28583,19214,167
52,Latvia,28362,15613,166
53,Turkey,28002,10498,164
54,Romania,26660,10781,156
55,Kazakhstan,26491,9009,155
56,Croatia,26296,13200,154
57,Russia,25763,10846,151
58,Chile,24747,15001,145
59,Panama,24521,15166,143
60,Equatorial Guinea,24439,9741,143
61,Antigua and Barbuda,23522,15825,138
62,Uruguay,22610,16341,132
63,Mauritius,22356,10491,131
64,Bulgaria,20948,8197,123
65,Iran,20885,5628,122
66,Argentina,20829,14508,122
67,Libya,19673,5791,115
68,Montenegro,19355,7720,113
69,Belarus,18896,5762,111
