country_award,country_gdp
Algeria,Afghanistan
Andorra,Algeria
Bolivia (Plurinational State of),Angola
Bonaire, Saint Eustatius and Saba,Aruba
Brunei Darussalam,Bolivia
Cuba,Brunei
Curacao,Cape Verde
Céte d'ivoire,CôIvory Coast
Democratic Republic of the Congo,Fiji
Djibouti,Guinea-Bissau
Germany (West),Hong Kong
Holy See,Iran
Iran (Islamic Republic of),Kiribati
Korea (Democratic People's Republic of),Kuwait
Korea (Republic of),Laos
Lao People's Democratic Republic,Libya
Libya (State of),Macau
Liechtenstein,Macedonia
Moldova (Republic of),Maldives
Monaco,Marshall Islands
North Macedonia (Republic of),Micronesia
Russian Federation,Moldova
Serbia and Montenegro,Myanmar
Sint Maarten (Dutch part),Palau
Syrian Arab Republic,Palestine
Tanzania (United Republic of),Republic of the Congo
United States of America,Russia
Venezuela (Bolivarian Republic of),Solomon Islands
Viet Nam,South Korea
,Tanzania
,Thailand
,Timor-Leste
,Tuvalu
,United States
,Vanuatu
,Vietnam
