t,i,j,k,v,q
2023,4,20,200290,8.013,5.83
2023,4,31,252620,9.808,77.15
2023,4,31,680221,33.788,76.655
2023,4,31,761510,6.604,2.368
2023,4,31,860900,1.5,2.2
2023,4,36,040900,3.043,0.36
2023,4,36,071120,1.823,0.944
2023,4,36,071320,3.656,1.575
2023,4,36,080211,15.532,2.98
2023,4,36,080212,38.305,7.596
2023,4,36,080291,9.603,0.297
2023,4,36,080292,25.342,2.05
2023,4,36,080420,16.472,6.248
2023,4,36,080620,146.15,111.229
2023,4,36,081310,72.929,39.115
2023,4,36,081320,12.171,4.496
2023,4,36,081340,35.188,16.844
2023,4,36,081350,1.165,0.336
2023,4,36,090932,41.827,7.53
2023,4,36,091020,20.321,0.021
2023,4,36,120799,3.794,1.316
2023,4,36,170199,0.735,0.65
2023,4,36,170490,3.799,3.229
2023,4,36,190410,2.499,1.08
2023,4,36,200819,26.241,3.546
2023,4,36,300490,5.16,
2023,4,36,392310,4.919,1.564
2023,4,36,392490,1.153,0.195
2023,4,36,401590,2.815,0.08
2023,4,36,401699,0.737,0.051
2023,4,36,420212,0.888,0.056
2023,4,36,420219,0.785,0.001
2023,4,36,560221,2.426,0.119
2023,4,36,570110,77.209,1.493
2023,4,36,570210,52.483,5.022
2023,4,36,570232,8.472,1.1
2023,4,36,570241,4.604,0.447
2023,4,36,570291,9.053,0.412
2023,4,36,570339,0.797,0.068
2023,4,36,570500,2.284,0.466
2023,4,36,610442,2.11,0.062
2023,4,36,610449,1.294,0.002
2023,4,36,611011,0.785,0.008
2023,4,36,620190,1.953,0.037
2023,4,36,620339,1.357,0.02
2023,4,36,620432,1.492,0.029
2023,4,36,620439,0.733,0.001
2023,4,36,620443,1.778,0.029
2023,4,36,620449,9.058,0.07
2023,4,36,620469,0.847,
2023,4,36,621050,5.307,0.107
2023,4,36,621490,0.789,0.018
2023,4,36,630221,1.179,0.113
2023,4,36,630231,2.065,0.187
2023,4,36,630239,2.015,0.102
2023,4,36,640391,1.035,0.024
2023,4,36,680221,5.953,6.479
2023,4,36,680229,4.469,5.01
2023,4,36,691110,1.464,0.254
2023,4,36,711311,0.851,
2023,4,36,711319,1.719,
2023,4,36,711810,4.186,0.005
2023,4,36,731029,4.83,0.955
2023,4,36,841989,1.005,0.023
2023,4,36,842123,18.166,0.32
2023,4,36,843890,2.281,0.037
2023,4,36,848190,1.227,
2023,4,36,850132,3.221,0.128
2023,4,36,851110,1.059,0.013
2023,4,36,853710,5.448,0.038
2023,4,36,870829,0.872,0.057
2023,4,36,870880,1.538,0.161
2023,4,36,901890,2.276,
2023,4,36,902610,18.866,0.065
2023,4,36,903180,0.861,0.002
2023,4,36,910229,0.743,
2023,4,36,940511,2.639,0.097
2023,4,36,970531,5.433,
2023,4,36,970539,1.086,
2023,4,40,040690,0.004,0.001
2023,4,40,070810,0.074,0.006
2023,4,40,071320,19.566,11.284
2023,4,40,071333,2.851,2.216
2023,4,40,071390,4.98,2.016
2023,4,40,071420,7.359,3.908
2023,4,40,080211,34.454,7.129
