Country,Total,Trade,Educational
Argentina,9931,8540,1391
Australia,13296,6441,5390
Austria,8466,7500,966
Belarus,9665,4879,4786
Belgium,22444,14761,7683
Bolivia (Plurinational State of),1578,..,..
Brazil,46829,23669,23160
Bulgaria,12606,10062,2544
Canada,12651,9185,3466
Chile,8152,..,..
China,..,5510,..
Colombia,13913,8127,5786
Costa Rica,2158,..,..
Cuba,992,..,..
Czech Republic,16422,15566,856
Denmark,11975,..,..
Dominican Republic,1866,..,..
Ecuador,5253,3836,1417
El Salvador,661,..,..
Estonia,5420,5297,123
Finland,9368,6868,2500
France,106799,77221,9934
Germany,79916,..,..
Guatemala,1042,723,319
Honduras,102,79,23
Iceland,1726,..,..
Italy,134338,130242,4096
Japan,..,71661,..
Kazakhstan,6515,4117,2398
Kyrgyzstan,1455,1029,426
Latvia,2910,2400,79
Lebanon,4585,..,..
Lithuania,3075,2713,362
Mexico,18577,9549,9028
Nicaragua,27,..,..
Norway,6724,5971,753
Panama,940,..,..
Paraguay,1007,..,..
Peru,7111,..,..
Portugal,..,21880,..
Republic of Korea,85991,59724,6698
Republic of Moldova,3941,2500,1441
Russian Federation,116915,..,..
Saudi Arabia,30400,25200,5200
Serbia,11888,9538,2350
Slovenia,4898,4301,597
Spain,86413,81228,5185
Sweden,..,7452,..
Thailand,..,6750,..
Turkey,78619,56991,21628
United Kingdom,188000,..,..
Ukraine,22612,15386,7226
Uruguay,3231,..,..
Venezuela (Bolivarian Republic of),2275,..,..
