Country Code,,,Type,,
name,count,,name,count,
United States of America,30654,,company,29310,
United Kingdom of Great Britain and Northern Ireland,7363,,education,18479,
Germany,4953,,nonprofit,15672,
China,4329,,healthcare,13961,
Japan,3913,,facility,11061,
France,3822,,other,9051,
Canada,3301,,government,7686,
India,2984,,funder,7583,
Czechia,2742,,archive,2936,
Russian Federation,2095,,,,
Italy,2013,,,,
Norway,1896,,,,
Spain,1766,,,,
Brazil,1728,,,,
"Korea, Republic of",1612,,,,
Netherlands,1609,,,,
Switzerland,1546,,,,
Sweden,1477,,,,
Australia,1402,,,,
Poland,1201,,,,
Belgium,916,,,,
Austria,695,,,,
Ireland,635,,,,
Indonesia,603,,,,
Denmark,596,,,,
Mexico,595,,,,
Portugal,529,,,,
Greece,493,,,,
Finland,489,,,,
South Africa,476,,,,
"Taiwan, Province of China",472,,,,
Slovakia,450,,,,
Ukraine,442,,,,
Turkey,437,,,,
Hong Kong,435,,,,
Hungary,407,,,,
"Iran, Islamic Republic of",403,,,,
Israel,387,,,,
Slovenia,373,,,,
Argentina,331,,,,
Colombia,326,,,,
Pakistan,312,,,,
Philippines,296,,,,
Nigeria,286,,,,
Thailand,281,,,,
Romania,274,,,,
New Zealand,267,,,,
Kenya,252,,,,
Bulgaria,235,,,,
Singapore,234,,,,
Viet Nam,234,,,,
Egypt,228,,,,
Uganda,218,,,,
Chile,212,,,,
Malaysia,195,,,,
Bangladesh,178,,,,
Morocco,178,,,,
Peru,144,,,,
"Tanzania, United Republic of",134,,,,
Croatia,132,,,,
Ghana,129,,,,
Tunisia,126,,,,
Saudi Arabia,125,,,,
Estonia,120,,,,
Kazakhstan,120,,,,
Lithuania,120,,,,
Belarus,117,,,,
Qatar,112,,,,
Algeria,111,,,,
Serbia,110,,,,
Nepal,109,,,,
Ethiopia,107,,,,
Sri Lanka,105,,,,
United Arab Emirates,104,,,,
Cyprus,97,,,,
Latvia,96,,,,
Ecuador,92,,,,
Myanmar,92,,,,
Georgia,82,,,,
Luxembourg,81,,,,
"Venezuela, Bolivarian Republic of",77,,,,
Uzbekistan,76,,,,
Senegal,75,,,,
Costa Rica,73,,,,
Iraq,72,,,,
"Bolivia, Plurinational State of",71,,,,
Lebanon,71,,,,
Cameroon,69,,,,
Zimbabwe,69,,,,
"Congo, Democratic Republic of the",67,,,,
Puerto Rico,67,,,,
Azerbaijan,65,,,,
Armenia,61,,,,
Jordan,60,,,,
Cuba,59,,,,
Cambodia,57,,,,
Iceland,56,,,,
Zambia,55,,,,
Panama,53,,,,
Sudan,53,,,,
Nicaragua,50,,,,
Uruguay,49,,,,
Mozambique,47,,,,
Bosnia and Herzegovina,45,,,,
Côte d'Ivoire,43,,,,
Dominican Republic,42,,,,
Kyrgyzstan,41,,,,
Malawi,41,,,,
Albania,40,,,,
"Moldova, Republic of",39,,,,
Afghanistan,37,,,,
Burkina Faso,37,,,,
Rwanda,37,,,,
Somalia,37,,,,
Paraguay,36,,,,
North Macedonia,34,,,,
Malta,34,,,,
"Palestine, State of",34,,,,
Syrian Arab Republic,34,,,,
Botswana,33,,,,
Mongolia,32,,,,
El Salvador,32,,,,
Oman,31,,,,
Benin,30,,,,
Guatemala,30,,,,
Kuwait,30,,,,
Madagascar,29,,,,
Tajikistan,25,,,,
Mali,23,,,,
Yemen,23,,,,
Haiti,22,,,,
Turkmenistan,21,,,,
Libya,19,,,,
Mauritius,19,,,,
Namibia,19,,,,
Angola,18,,,,
Niger,18,,,,
Bahrain,17,,,,
Kosovo,17,,,,
Honduras,16,,,,
Montenegro,16,,,,
Burundi,15,,,,
Guinea,15,,,,
Jamaica,15,,,,
Lao People's Democratic Republic,15,,,,
Liechtenstein,15,,,,
Papua New Guinea,15,,,,
Macao,14,,,,
Gambia,13,,,,
Liberia,13,,,,
Togo,13,,,,
Trinidad and Tobago,13,,,,
Bahamas,12,,,,
Cabo Verde,12,,,,
Fiji,11,,,,
Gabon,11,,,,
"Korea, Democratic People's Republic of",11,,,,
Congo,10,,,,
Guam,10,,,,
Maldives,10,,,,
Sierra Leone,10,,,,
South Sudan,10,,,,
Chad,10,,,,
"Virgin Islands, U.S.",10,,,,
American Samoa,9,,,,
Barbados,9,,,,
Brunei Darussalam,9,,,,
Bhutan,9,,,,
Bermuda,8,,,,
Greenland,8,,,,
Saint Lucia,8,,,,
Mauritania,8,,,,
Guinea-Bissau,7,,,,
Guyana,7,,,,
Monaco,7,,,,
Eswatini,7,,,,
Curaçao,6,,,,
French Guiana,6,,,,
Cayman Islands,6,,,,
Northern Mariana Islands,6,,,,
New Caledonia,6,,,,
Réunion,6,,,,
Suriname,6,,,,
Belize,5,,,,
Faroe Islands,5,,,,
Guadeloupe,5,,,,
Saint Kitts and Nevis,5,,,,
Lesotho,5,,,,
Dominica,4,,,,
Grenada,4,,,,
Gibraltar,4,,,,
Isle of Man,4,,,,
French Polynesia,4,,,,
Seychelles,4,,,,
San Marino,4,,,,
Samoa,4,,,,
Antigua and Barbuda,3,,,,
"Micronesia, Federated States of",3,,,,
Equatorial Guinea,3,,,,
Jersey,3,,,,
