institution;country;production;year
Chinese Academy of Medical Sciences & Peking Union Medical College;China;7249;2018
Albert Einstein College of Medicine;United States;2974;2018
Indiana University School of Medicine;United States;4045;2018
Tokyo University of Science;Japan;2145;2018
Martin Luther University Halle-Wittenberg;Germany;4705;2018
Universidade Federal de São Carlos;Brazil;4161;2018
Universidade Federal da Bahia;Brazil;3108;2018
Florida College;United States;1730;2018
Weatherford College;United States;666;2018
Sağlık Bilimleri Üniversitesi;Türkiye;2828;2018
Seattle University;United States;1864;2018
Institute of Medical Sciences;India;2567;2018
Université Paris 1 Panthéon-Sorbonne;France;2756;2018
University of Rajasthan;India;258;2018
University of Novi Sad;Serbia;2660;2018
Institut Agama Islam Negeri Bengkulu;Indonesia;2333;2018
University of Bayreuth;Germany;1447;2018
Center for Astrophysics Harvard & Smithsonian;United States;1233;2018
Ulsan College;South Korea;2465;2018
Université Paris Nanterre;France;2395;2018
Osaka Prefecture University;Japan;1179;2018
Moscow State University;Tajikistan;1194;2018
Saveetha University;India;621;2018
Shahid Beheshti University;Iran;2463;2018
Marymount University;United States;1117;2018
China University of Petroleum, East China;China;2195;2018
SRM Institute of Science and Technology;India;1692;2018
Islamic Azad University, Science and Research Branch;Iran;2659;2018
Vita-Salute San Raffaele University;Italy;1548;2018
Providence College;United States;1485;2018
Université Paris 8;France;1526;2018
Miami University;United States;1251;2018
Southern California University for Professional Studies;United States;1166;2018
Novosibirsk State University;Russia;2624;2018
University of Gdańsk;Poland;1722;2018
Pontifícia Universidade Católica do Rio Grande do Sul;Brazil;1898;2018
Philadelphia University;United States;895;2018
John Brown University;United States;926;2018
University School;United States;1176;2018
Nagoya Institute of Technology;Japan;1058;2018
Dalian University;China;1772;2018
Wheaton College - Illinois;United States;164;2018
Johannes Kepler University of Linz;Austria;1601;2018
California University of Pennsylvania;United States;1151;2018
Institut Polytechnique de Bordeaux;France;1742;2018
University of Electro-Communications;Japan;1105;2018
Institut polytechnique de Grenoble;France;1551;2018
New Jersey Institute of Technology;United States;1114;2018
Rochester Institute of Technology;United States;1157;2018
Universidade Federal de Campina Grande;Brazil;2002;2018
Universidad de Londres;Mexico;662;2018
Shandong Normal University;China;1637;2018
Kyoto Prefectural University of Medicine;Japan;978;2018
Universidade de Ribeirão Preto;Brazil;1661;2018
Peter the Great St. Petersburg Polytechnic University;Russia;1896;2018
Universitas Muhammadiyah Tapanuli Selatan;Indonesia;2844;2018
Transnational Press London;United Kingdom;676;2018
Instituto Superior Técnico;Portugal;571;2018
Universidade Federal de Mato Grosso;Brazil;2273;2018
Université de Picardie Jules Verne;France;1757;2018
Universidade Federal Rural de Pernambuco;Brazil;1732;2018
Universitas Patria Artha;Indonesia;2044;2018
École Pratique des Hautes Études;France;1676;2018
Institute of Cancer Research;United Kingdom;970;2018
Universitas Negeri Surabaya;Indonesia;2034;2018
Teikyo University;Japan;910;2018
Bridge University;South Sudan;672;2018
Nippon Medical School;Japan;787;2018
Université Toulouse - Jean Jaurès;France;1360;2018
Illinois College;United States;688;2018
University of Massachusetts Lowell;United States;988;2018
Sofia University "St. Kliment Ohridski";Bulgaria;903;2018
University of Augsburg;Germany;970;2018
Korea University of Science and Technology;South Korea;1609;2018
University of Nis;Serbia;1398;2018
University of Yamanashi;Japan;910;2018
University of Nairobi;Kenya;1213;2018
Democritus University of Thrace;Greece;1180;2018
Universidade Federal do Rio Grande;Brazil;1463;2018
Université Sorbonne Nouvelle;France;1411;2018
Université de Yaoundé I;Cameroon;1223;2018
Universidade Federal Rural do Rio de Janeiro;Brazil;1471;2018
Université Paris Dauphine-PSL;France;936;2018
Annamalai University;India;1048;2018
Suez Canal University;Egypt;1034;2018
Akita University;Japan;590;2018
Universitat de Miguel Hernández d'Elx;Spain;1062;2018
The Graduate University for Advanced Studies, SOKENDAI;Japan;949;2018
University of Baltimore;United States;661;2018
University of Rijeka;Croatia;1100;2018
University of Mons;Belgium;831;2018
Jilin Medical University;China;828;2018
FH Aachen;Germany;536;2018
Johnson University;United States;765;2018
Doshisha University;Japan;954;2018
Sunan Kalijaga State Islamic University Yogyakarta;Indonesia;1247;2018
State University of Makassar;Indonesia;1338;2018
National Chung Cheng University;Taiwan;580;2018
China Jiliang University;China;765;2018
Munich University of Applied Sciences;Germany;232;2018
Christ University;India;760;2018
V. N. Karazin Kharkiv National University;Ukraine;1192;2018
Hamburg University of Technology;Germany;812;2018
Alexandru Ioan Cuza University;Romania;882;2018
Menlo School;United States;546;2018
Lambung Mangkurat University;Indonesia;993;2018
Universidade Brasil;Brazil;606;2018
Witten/Herdecke University;Germany;912;2018
Hamamatsu University School of Medicine;Japan;634;2018
Albany State University;United States;617;2018
Technical University of Košice;Slovakia;1119;2018
AgroParisTech;France;1024;2018
Lviv University;Ukraine;763;2018
Riau University;Indonesia;1057;2018
University of Algarve;Portugal;942;2018
CY Cergy Paris Université;France;891;2018
Wroclaw University of Economics and Business;Poland;1380;2018
Magna Graecia University;Italy;857;2018
Universidad del Noreste;Mexico;621;2018
Urbana University;United States;423;2018
Tokyo Medical University;Japan;669;2018
Universidad Pablo de Olavide;Spain;1069;2018
Brooklyn College;United States;396;2018
Fukushima Medical University;Japan;824;2018
Moscow Power Engineering Institute;Russia;1058;2018
Universitas PGRI Semarang;Indonesia;1127;2018
Shenyang University of Technology;China;487;2018
National Technical University of Ukraine “Igor Sikorsky Kyiv Polytechnic Institute”;Ukraine;1059;2018
National Institute of Technology Tiruchirappalli;India;1058;2018
École Nationale Supérieure des Mines de Paris;France;443;2018
Graphic Era University;India;360;2018
University of Sciences and Technology Houari Boumediene;Algeria;1202;2018
University of Ilorin;Nigeria;984;2018
Polytechnic University of Bari;Italy;879;2018
Andhra University;India;903;2018
Roskilde University;Denmark;624;2018
Université Toulouse-I-Capitole;France;881;2018
The King's College;United States;344;2018
Pondicherry University;India;1121;2018
Mulawarman University;Indonesia;1579;2018
Saratov State University;Russia;851;2018
Graduate School USA;United States;1266;2018
Universität der Bundeswehr München;Germany;740;2018
Vilnius Gediminas Technical University;Lithuania;714;2018
Chinese University of Hong Kong, Shenzhen;China;676;2018
Institute of Chemical Technology;India;702;2018
Shibaura Institute of Technology;Japan;647;2018
Yuan Ze University;Taiwan;570;2018
Government College University, Faisalabad;Pakistan;822;2018
Jacksonville College;United States;735;2018
Universitas Islam Negeri Sumatera Utara;Indonesia;349;2018
Courant Institute of Mathematical Sciences;United States;378;2018
University of Lahore;Pakistan;795;2018
Indian Association for the Cultivation of Science;India;528;2018
UCL Australia;Australia;102;2018
Indian Institute of Technology Hyderabad;India;1055;2018
Vienna University of Economics and Business;Austria;785;2018
University of Évora;Portugal;857;2018
Tarumanagara University;Indonesia;853;2018
National Yunlin University of Science and Technology;Taiwan;527;2018
Nnamdi Azikiwe University;Nigeria;881;2018
Universidade Federal do Tocantins;Brazil;1154;2018
University of Lincoln;United Kingdom;942;2018
King George's Medical University;India;815;2018
St. Marianna University School of Medicine;Japan;536;2018
Université Paul-Valéry Montpellier;France;888;2018
Sathyabama Institute of Science and Technology;India;773;2018
University of Port Harcourt;Nigeria;876;2018
Universidade Estadual de Feira de Santana;Brazil;903;2018
Saints Cyril and Methodius University of Skopje;North Macedonia;858;2018
Symbiosis International University;India;585;2018
University of Zielona Góra;Poland;957;2018
Berkeley College;United States;706;2018
Moscow Aviation Institute;Russia;801;2018
Liaoning Normal University;China;342;2018
Karlsruhe University of Education;Germany;309;2018
University of Žilina;Slovakia;1068;2018
École Normale Supérieure Paris-Saclay;France;592;2018
Iranshahr University;Iran;1157;2018
Zhejiang University of Science and Technology;China;460;2018
Bharathidasan University;India;669;2018
Colegio de Postgraduados;Mexico;838;2018
South Ural State University;Russia;1113;2018
Tanjungpura University;Indonesia;616;2018
University of Economics in Katowice;Poland;920;2018
All India Institute of Medical Sciences Bhopal;India;663;2018
Institute of Engineering;Nepal;680;2018
Muğla University;Türkiye;913;2018
Goldsmiths University of London;United Kingdom;699;2018
Central University of Rajasthan;India;295;2018
All India Institute of Medical Sciences Raipur;India;639;2018
Università della Svizzera italiana;Switzerland;779;2018
Université de Toulon;France;774;2018
Financial University;Russia;873;2018
Siksha O Anusandhan University;India;757;2018
Bucharest University of Economic Studies;Romania;680;2018
Afyon Kocatepe University;Türkiye;758;2018
Universitas Halu Oleo;Indonesia;934;2018
Heidelberg University;United States;209;2018
Universidade Luterana do Brasil;Brazil;1013;2018
Tamil Nadu Agricultural University;India;686;2018
Montanuniversität Leoben;Austria;671;2018
Palo Alto University;United States;744;2018
San Raffaele University of Rome;Italy;582;2018
University of Calabar;Nigeria;704;2018
East China Jiaotong University;China;533;2018
Institute for Theoretical and Experimental Physics;Russia;585;2018
Moscow State Institute of International Relations;Russia;620;2018
Near East University;Cyprus;882;2018
University of Pembangunan Nasional Veteran Jawa Timur;Indonesia;374;2018
École Normale Supérieure;Burundi;628;2018
Oklahoma State University Oklahoma City;United States;401;2018
Capital University;United States;281;2018
Mercu Buana University;Indonesia;810;2018
Poznań University of Economics and Business;Poland;723;2018
Universidade Católica Portuguesa;Portugal;668;2018
Bharati Vidyapeeth Deemed University;India;668;2018
University of Hagen;Germany;567;2018
Utsunomiya University;Japan;449;2018
Universitas Pendidikan Ganesha;Indonesia;870;2018
California State University Los Angeles;United States;472;2018
University of Benin;Nigeria;672;2018
University of America;United States;548;2018
Université Ibn-Tofail;Morocco;648;2018
Université Bourgogne Franche-Comté;France;1436;2018
Arts et Métiers;France;543;2018
University of the Philippines Diliman;Philippines;704;2018
University of Bamberg;Germany;675;2018
Université Jean Monnet;France;558;2018
University of Białystok;Poland;754;2018
Université Rennes 2;France;870;2018
Sardar Vallabhbhai National Institute of Technology Surat;India;872;2018
Sohag University;Egypt;745;2018
Universidad de Los Andes;Bolivia;699;2018
Clark University;United States;354;2018
Politeknik Kesehatan Kemenkes Semarang;Indonesia;840;2018
Izmir Kâtip Çelebi University;Türkiye;857;2018
Ankara Sosyal Bilimler Üniversitesi;Türkiye;881;2018
Temple College;United States;531;2018
Dr. Hari Singh Gour University;India;608;2018
University of Shizuoka;Japan;333;2018
Folkwang University of the Arts;Germany;526;2018
University of Craiova;Romania;666;2018
Université de Haute-Alsace;France;588;2018
