rank;university;country;score
1;Harvard University;United States;96.1
2;California Institute of Technology;United States;96.0
3;Massachusetts Institute of Technology;United States;95.6
4;Stanford University;United States;94.3
5;Princeton University;United States;94.2
6;University of Cambridge;United Kingdom;91.2
7;University of Oxford;United Kingdom;91.2
8;University of California, Berkeley;United States;91.1
9;Imperial College London;United Kingdom;90.6
10;Yale University;United States;89.5
11;University of California, Los Angeles;United States;87.7
12;The University of Chicago;United States;86.9
13;Johns Hopkins University;United States;86.4
14;Cornell University;United States;83.9
15;ETH Zurich;Switzerland;83.4
16;University of Michigan-Ann Arbor;United States;83.4
17;University of Toronto;Canada;82.0
18;Columbia University;United States;81.0
19;University of Pennsylvania;United States;79.5
20;Carnegie Mellon University;United States;79.3
21;University of Hong Kong;Hong Kong;79.2
22;UCL;United Kingdom;78.4
23;University of Washington;United States;78.0
24;Duke University;United States;76.5
25;Northwestern University;United States;75.9
26;The University of Tokyo;Japan;75.6
27;Georgia Institute of Technology;United States;75.3
28;Pohang University of Science and Technology (POSTECH);South Korea;75.1
29;University of California, Santa Barbara;United States;75.0
30;University of British Columbia;Canada;73.8
31;University of North Carolina at Chapel Hill;United States;73.8
32;University of California, San Diego;United States;73.2
33;University of Illinois at Urbana-Champaign;United States;73.0
34;National University of Singapore;Singapore;72.9
35;McGill University;Canada;71.7
36;University of Melbourne;Australia;71.0
37;Peking University;China;70.7
38;Washington University in St Louis;United States;69.9
39;École Polytechnique – Institut Polytechnique de Paris;France;69.5
40;University of Edinburgh;United Kingdom;69.2
41;The Hong Kong University of Science and Technology;Hong Kong;69.0
42;École Normale Supérieure;France;68.6
43;Australian National University;Australia;67.0
44;Karolinska Institute;Sweden;67.0
45;University of Göttingen;Germany;67.0
46;University of Wisconsin;United States;67.0
47;Rice University;United States;66.9
48;École Polytechnique Fédérale de Lausanne;Switzerland;66.5
49;University of California, Irvine;United States;66.0
50;University of Science and Technology of China;China;66.0
51;Vanderbilt University;United States;65.9
52;University of Minnesota;United States;65.6
53;Tufts University;United States;65.2
54;University of California, Davis;United States;65.0
55;Brown University;United States;64.9
56;University of Massachusetts;United States;64.7
57;Kyoto University;Japan;64.6
58;Tsinghua University;China;64.2
59;Boston University;United States;64.0
60;New York University;United States;63.9
61;Emory University;United States;63.0
62;LMU Munich;Germany;63.0
63;University of Notre Dame;United States;62.8
64;University of Pittsburgh-Pittsburgh campus;United States;62.7
65;Case Western Reserve University;United States;62.2
66;Ohio State University (Main campus);United States;62.1
