country_in_data,country_in_awards
China,China
United States of America,United States
Hong Kong,Hong Kong
Japan,Japan
Italy,Italy
Turkey,Turkey
United Kingdom,United Kingdom
Brazil,Brazil
Germany,Germany
India,India
Korea,South Korea
Iran,Iran
Russian Federation,Russia
Canada,Canada
Singapore,Singapore
Spain,Spain
Portugal,Portugal
Greece,Greece
Australia,Australia
Poland,Poland
France,France
Mexico,Mexico
Netherlands,Netherlands
Hungary,Hungary
Lithuania,Lithuania
Belgium,Belgium
Malaysia,Malaysia
Switzerland,Switzerland
Ukraine,Ukraine
Israel,Israel
Bulgaria,Bulgaria
Egypt,Egypt
Austria,Austria
Czech Republic,Czechia
Thailand,Thailand
Finland,Finland
Denmark,Denmark
Sweden,Sweden
Romania,Romania
Viet Nam,Vietnam
United Arab Emirates,United Arab Emirates
Lebanon,Lebanon
Moldova,Moldova
Croatia,Croatia
Argentina,Argentina
Kuwait,Kuwait
Serbia,Serbia
Ireland,Ireland
South Africa,South Africa
Indonesia,Indonesia
Norway,Norway
Chile,Chile
Slovenia,Slovenia
New Zealand,New Zealand
Latvia,Latvia
Philippines,Philippines
Jordan,Jordan
Uruguay,Uruguay
Saudi Arabia,Saudi Arabia
Estonia,Estonia
Cyprus,Cyprus
Colombia,Colombia
Macau (China),Macau (China)
Slovakia,Slovakia
Kyrgyzstan,Kyrgyzstan
Qatar,Qatar
Kazakhstan,Kazakhstan
Peru,Peru
Georgia,Georgia
Bangladesh,Bangladesh
Ecuador,Ecuador
Pakistan,Pakistan
Armenia,Armenia
Dominican Republic,Dominican Republic
Iceland,Iceland
Sri Lanka,Sri Lanka
Belarus,Belarus
Bosnia and Herzegovina,Bosnia and Herzegovina
Democratic People's Republic of Korea,North Korea
Luxembourg,Luxembourg
Puerto Rico,Puerto Rico
Malta,Malta
Costa Rica,Costa Rica
Cayman Islands,Cayman Islands
Palestine,Palestine
Oman,Oman
Tunisia,Tunisia
Kosovo,Kosovo
Venezuela,Venezuela
Azerbaijan,Azerbaijan
Tanzania,Tanzania
Zimbabwe,Zimbabwe
Nicaragua,Nicaragua
Faroe Islands,Faroe Islands
Tajikistan,Tajikistan
Botswana,Botswana
Albania,Albania
Guatemala,Guatemala
Morocco,Morocco
Monaco,Monaco
Bahrain,Bahrain
Montenegro,Montenegro
Kenya,Kenya
Maldives,Maldives
Liechtenstein,Liechtenstein
Cameroon,Cameroon
Macedonia,Macedonia
Cuba,Cuba
Mongolia,Mongolia
Paraguay,Paraguay
Trinidad and Tobago,Trinidad and Tobago
