country_in_data,country_in_awards
United States of America,United States
Switzerland,Switzerland
Denmark,Denmark
Sweden,Sweden
Germany,Germany
Finland,Finland
Singapore,Singapore
Japan,Japan
United Kingdom,United Kingdom
Netherlands,Netherlands
Korea,South Korea
Hong Kong,Hong Kong
Canada,Canada
Austria,Austria
Norway,Norway
Israel,Israel
France,France
Australia,Australia
Belgium,Belgium
Malaysia,Malaysia
Ireland,Ireland
Iceland,Iceland
New Zealand,New Zealand
Luxembourg,Luxembourg
Chile,Chile
Estonia,Estonia
Thailand,Thailand
Spain,Spain
Kuwait,Kuwait
Qatar,Qatar
Tunisia,Tunisia
Czech Republic,Czechia
China,China
Saudi Arabia,Saudi Arabia
Puerto Rico,Puerto Rico
United Arab Emirates,United Arab Emirates
Lithuania,Lithuania
Slovenia,Slovenia
Portugal,Portugal
Slovakia,Slovakia
Oman,Oman
Bahrain,Bahrain
South Africa,South Africa
Latvia,Latvia
Italy,Italy
Hungary,Hungary
India,India
Jordan,Jordan
