,País,DCI_awards,DCI_wipo,PIB_per_capita,ECI_tr,ECI_re,ECI_te,F23_2018,F25_2018,Times_Score,Alex_Score
0,Albania,,-0.1096042574728898,13846.883222222219,-0.44205119319999997,-0.499733899259721,-0.858353783775,,,,9.37007543009734
1,Algeria,,-0.6825584425842384,12704.436444444444,-0.9711272044777779,-1.1937085048633793,-0.6961081437000001,,,0.0,11.74565492430803
2,Andorra,,-0.0925780752325088,55232.062666666665,,,,,,,5.877735781779639
3,Antigua and Barbuda,,-1.704988995889701,19972.50711111111,,,,,,,7.758760544157663
4,Argentina,-0.0124829281180096,0.281287984150825,22353.942444444445,0.18565077961111112,0.9243839233195887,0.1911848122,9931.0,,7.2115567333138015,10.781079035271006
5,Armenia,0.1194153252922983,-0.8523929260189766,13102.658777777779,-0.17537344937777777,-0.6114951256375297,-0.6206636979285715,,,,9.133783249254028
6,Australia,0.5400859206854756,0.9815904314203217,50531.460333333336,-0.22690837808888886,2.0553397507631797,1.1548054609999998,13296.0,,0.0,9.382443228575806
7,Austria,0.5613914018175157,0.9121963990668536,54597.09866666667,1.556031037833333,1.391849426520601,1.4916650194285717,8466.0,,6.1008793330938484,10.88218954453168
8,Azerbaijan,-0.3970432777711228,0.0637245450699247,14573.794555555556,-0.47902640280000003,-1.6602593037525317,-0.7822502039,,,,9.649175779559453
9,Bahamas,,-0.1673932693880047,34609.915,,,,,,,6.731018100482083
10,Bahrain,-0.8372000535844092,-1.274853818678947,48637.89688888889,,,,,,,8.68169016329764
11,Bangladesh,-0.5908040036606937,-1.2778963819320637,5835.617,-1.2350432846666666,-0.523191144153088,-1.4313240584285716,,,2.8449093838194073,11.509519671835395
12,Barbados,,0.7821428548368986,15232.906,,,,,,,7.554334823725748
13,Belarus,-1.5447511931105642,0.4651966162078573,18998.678888888888,0.8046268399,-1.3298053056237231,-0.18872617834528574,9665.0,,9.740595023847101,9.901034546375062
14,Belgium,0.8805488800257889,0.9417591488275684,51546.91355555555,1.2950207018,1.7286846286327044,1.0825648337142857,22444.0,18541.0,8.263190868266031,9.995519637982621
15,Belize,,0.667913417516986,8483.165222222224,,,,,42.0,,6.124683390894205
16,Benin,,-4.026431322681825,3145.4067777777777,-0.5664955814624999,-0.5222733512641825,,,,,9.460709909543985
17,Bhutan,,-0.7907133927111156,11677.525444444445,,,,,,,6.194405391104672
18,Bolivia (Plurinational State of),,-1.333593426559201,8357.440333333334,,,,1578.0,,,
19,"Bonaire, Saint Eustatius and Saba",,0.672236692714168,,,,,,,,
20,Bosnia and Herzegovina,-0.8334274739747581,-0.089742992426559,14224.310333333335,0.5782970409888889,-0.5944482791288138,-0.5178434304328571,,,,9.791829470993246
21,Botswana,-1.832037798284385,,14723.961777777777,-0.4740709188111112,-0.8964175652738035,,,,,7.202661196523238
22,Brazil,0.5335200221276323,0.6406098146254687,15552.141,0.4585293602777778,1.144758365190517,1.1566348267142856,46829.0,21668.0,3.871201010907891,13.53929977133824
23,Brunei Darussalam,,-0.2913558252622305,60771.08022222222,,,,,,,
24,Bulgaria,0.1739958992511066,0.8106214112595587,23383.351777777778,0.5543583414777777,-0.5339085061952922,0.40754308295714287,12606.0,,0.0,10.345541708874908
