rank,category,DCI
0,0.3679328251907397,Cuba
1,0.3679328251907397,Macedonia
2,0.36790897959868896,Kenya
3,0.3671516356826081,Nicaragua
4,0.3671516356826081,Uruguay
5,0.34892437457602865,Luxembourg
6,0.3296972343093388,Tanzania
7,0.31767439776535994,Maldives
8,0.3154810075705858,Venezuela
9,0.31132893373233905,Pakistan
10,0.30601244672032824,Laos
11,0.303674533315675,Jordan
12,0.2970565258058758,Kosovo
13,0.29583352076791525,Kazakhstan
14,0.29122302180273796,Slovenia
15,0.2898867291457339,Serbia
16,0.2877624984365585,Belarus
17,0.2850447089410142,Moldova
18,0.2837574071781596,Malta
19,0.28347076361642026,Zimbabwe
20,0.28028421803450265,Monaco
21,0.2790786716904422,Belgium
22,0.27423870173041565,Guatemala
23,0.27380086612495425,Armenia
24,0.2736974949071392,Denmark
25,0.27315941716103037,Slovakia
26,0.27292321735514397,Kyrgyzstan
27,0.2728065487721578,Bangladesh
28,0.27140057061261535,Estonia
29,0.2645280754918424,Bosnia and Herzegovina
30,0.26385312386295284,New Zealand
31,0.26331259629820275,Thailand
32,0.2627165875023717,Czechia
33,0.26258944145789065,Switzerland
34,0.2625360006495272,Finland
35,0.2556118839784578,Philippines
36,0.25425880428895287,Ukraine
37,0.25400018813685676,Sweden
38,0.2532498981385876,Mongolia
39,0.2532498981385876,Paraguay
40,0.2515793580675584,Colombia
41,0.24986060341117186,Italy
42,0.24779875020092063,Iceland
43,0.244512693436307,Bulgaria
44,0.24338275105862262,Azerbaijan
45,0.24298397852848097,Turkey
46,0.24171346849680006,Austria
47,0.23571679234672824,Oman
48,0.23379410430971695,Vietnam
49,0.23282892659867319,Portugal
50,0.23099432091719585,Norway
51,0.22806106540495566,North Korea
52,0.22386066278401728,Cyprus
53,0.22327621175318868,Romania
54,0.22231867265319977,Ireland
55,0.2210116444922718,Iran
56,0.22044608811784772,Costa Rica
57,0.2163409664734657,Georgia
58,0.216197240055745,Kuwait
59,0.215866942247377,Lebanon
60,0.21583819374960975,United States
61,0.21426503223845753,Ecuador
62,0.21163011996422626,Indonesia
63,0.20364560299090467,Australia
64,0.2030159223575068,France
65,0.2020615450179419,United Kingdom
66,0.20097307682835133,Hungary
67,0.20003882670050674,Germany
68,0.1975021501903164,Faroe Islands
69,0.19663101000143773,Greece
70,0.19581287002936307,Netherlands
71,0.193871462231085,Montenegro
72,0.1857352742261674,Croatia
73,0.18565504207856184,Peru
74,0.18453137113549004,Egypt
75,0.18398499024235887,Sri Lanka
76,0.18351054927200955,Canada
77,0.18111963678858942,Dominican Republic
78,0.17288920416798767,United Arab Emirates
79,0.17077387930152624,Israel
80,0.1663121507829517,Poland
81,0.15332012327370545,Mexico
82,0.15311654805867012,Latvia
83,0.15208726796418656,Spain
84,0.1457899330023851,South Africa
85,0.14563373270966778,Argentina
86,0.14044015082419758,South Korea
87,0.12767805254523554,Lithuania
88,0.11472008234613013,Albania
89,0.11472008234613013,Botswana
90,0.11472008234613013,Cameroon
91,0.11472008234613013,Morocco
92,0.10387913123304555,Japan
93,0.09129681477543757,Russia
94,0.07586918090593595,Brazil
95,0.021228811750623456,Chile
96,-0.04296635890938479,Saudi Arabia
97,-0.099808243539532,Cayman Islands
98,-0.12183859022386843,India
99,-0.12599025160908228,Swaziland
100,-0.20743868175883992,Singapore
101,-0.3690767529444827,Malaysia
102,-0.6123437638251773,Bahrain
103,-1.098697276041272,Liechtenstein
104,-1.346222955914566,China
105,-1.445836289238642,Qatar
106,-3.7789881651033985,Tunisia
107,-6.459279054165524,Tajikistan
108,-6.459279054165524,Trinidad and Tobago
