Ranking,Pais,ECI_design
1,China,1.6605205916571533
2,Chinese Taipei,1.611346545380341
3,Turkey,1.5707693603407336
4,Sweden,1.3185128891804625
5,Czechia,1.2694862176677166
6,Italy,1.1795384866658751
7,Belgium,1.1660291332931243
8,Israel,1.1586112701684503
9,United States,1.1251571987253843
10,South Korea,1.1126794687010981
11,Serbia,1.0225843629351903
12,Hungary,0.9908005388182097
13,India,0.9430019903393502
14,United Kingdom,0.8385624075376489
15,Lithuania,0.8149333203656741
16,Netherlands,0.8117402004775695
17,Mexico,0.8049118364091609
18,Slovenia,0.7931218552838513
19,Iran,0.7671347718868146
20,Canada,0.7523481705588221
21,Philippines,0.72685233637534
22,Finland,0.6868646503919981
23,Latvia,0.6666251827935498
24,Denmark,0.6384274779355176
25,Germany,0.6314517391030426
26,France,0.6106718973696844
27,Slovakia,0.6063489042904042
28,Hong Kong,0.5922500518613881
29,Singapore,0.5529501147770226
30,Australia,0.4982249523870436
31,Spain,0.4780346097099509
32,Croatia,0.47415374092286977
33,Taiwan,0.46663762795548486
34,Romania,0.4270429413429866
35,Thailand,0.3977644882151343
36,Portugal,0.39353974497856503
37,Russia,0.39147649828163583
38,Switzerland,0.34706756937630284
39,Uruguay,0.3326248424977985
40,Greece,0.27180818985974287
41,Jordan,0.25093009828367374
42,New Zealand,0.17056172694614627
43,Ukraine,0.1701687275753026
44,Ireland,0.16977572820445896
45,Austria,0.14644139056061695
46,Brazil,0.12335267752355221
47,Japan,0.0668590179647768
48,Argentina,-0.006189740090787567
49,Poland,-0.022106214609955595
50,Egypt,-0.0853299883944286
51,Bulgaria,-0.11937355889376021
52,Malaysia,-0.1680072310356625
53,Moldova,-0.21875327479584947
54,Estonia,-0.23771549443905582
55,Lebanon,-0.2754925589614022
56,Armenia,-0.3106168777305538
57,Pakistan,-0.3515870621410049
58,Guatemala,-0.3816515140105445
59,United Arab Emirates,-0.49851970191517636
60,Peru,-0.6004047888063939
61,Kyrgyzstan,-0.6080682765378452
62,Qatar,-0.7091673646873754
63,Cyprus,-0.7430635604226407
64,Norway,-0.8116910755562139
65,Vietnam,-0.944279238294592
66,Saudi Arabia,-0.9655012043201494
67,Colombia,-1.164260636124328
68,South Africa,-1.2077853164452628
69,Bangladesh,-1.30264553958265
70,Indonesia,-1.3423384760378592
71,Chile,-1.3527038344438604
72,North Korea,-1.4787583826419628
73,Iceland,-1.5308799242001025
74,Georgia,-1.5413926573701704
75,Ecuador,-1.7110701357319185
76,Macau (China),-1.7149510045189995
77,Kazakhstan,-1.7390222159831734
78,Belarus,-1.7473243276922457
79,Dominican Republic,-1.8515674108085252
80,Bosnia and Herzegovina,-1.9998755483806494
81,Kuwait,-3.257227910473568
