rank,category,DCI
0,3.028257795889662,811251
1,2.7451821678820596,400241
2,2.6731598509206367,848630
3,2.6453914404415215,848610
4,2.5857251603134825,281219
5,2.528640604531404,370500
6,2.3025332944928487,846242
7,2.2492107275409445,400249
8,2.2212592373327493,281211
9,2.216522153999222,370241
10,2.2087823212854416,391211
11,2.179405175608067,846022
12,2.141080820836929,290393
13,2.1191049477092747,900120
14,2.112458020011496,722692
15,2.0905480942766825,291050
16,2.0861753312903373,300251
17,2.081346294893641,722591
18,2.0777063469391472,291720
19,2.0544025273058892,370790
20,2.0373096794304906,901730
21,2.0282690225089137,810210
22,2.016302116508329,340311
23,2.012703537162996,291212
24,2.0074143973840255,292113
25,2.0012763514748926,844400
26,1.9905636715087092,391239
27,1.9758955907691003,293750
28,1.9500816698045187,381090
29,1.9455421719678176,854091
30,1.9369036150131327,293142
31,1.9325545314543362,848240
32,1.9311816305493936,481022
33,1.9168622832737023,390450
34,1.9122114050751573,750810
35,1.9024501598511458,848620
36,1.8976588807212638,280461
37,1.8941784706470715,481031
38,1.890959421760381,722691
39,1.8880960077311735,292021
40,1.8783302177309014,290347
41,1.857868621035542,283720
42,1.8515364504418454,370242
43,1.841995857283189,293711
44,1.8404685099674805,848510
45,1.837394896657017,854079
46,1.8242860001784393,911011
47,1.822774327288048,722619
48,1.8221043215361141,290260
49,1.8214339019360142,291733
50,1.8112681285876453,722540
51,1.8018983095693304,847710
52,1.801168674402473,846012
53,1.7998103439673647,370252
54,1.7950342034821443,390599
55,1.7947645413994144,380110
56,1.792916008301562,290348
57,1.7777164134866699,292610
58,1.773715252333968,290539
59,1.7692726574930697,291613
60,1.7643067638692196,293110
61,1.7595549603942617,850750
62,1.7507466105418068,810991
63,1.746723522962563,846140
64,1.7452084230927143,848690
65,1.740232104041994,392073
66,1.7307497309830575,711049
67,1.7263725387883853,721260
68,1.7247392414300844,846711
69,1.7182497116369795,854232
70,1.7160278754991902,740931
71,1.71178455992534,870195
72,1.710406228789489,370255
73,1.707128004627254,290323
74,1.7036429812979423,390730
75,1.6971079853339779,292620
76,1.6944167188164556,293961
77,1.6929067830225228,391400
78,1.692190164339361,911180
79,1.6825839415465016,853921
80,1.675368268013244,722592
81,1.671197828289648,340590
82,1.6706076075445515,811300
83,1.6694624569878915,293319
84,1.668365287961753,370232
85,1.6679167360843388,480452
86,1.6652195744453993,382732
87,1.6639917710788157,391120
88,1.661288670153893,846024
89,1.6583275936881143,293623
90,1.6536074489531993,870360
91,1.6479469322744316,845630
92,1.6459843668721608,382714
93,1.644884207267512,720521
94,1.6445400091619087,903141
95,1.6440926076495017,844712
96,1.641601671557708,722011
97,1.6392137842037031,721030
98,1.638180497427502,722100
99,1.6373104935645388,282690
100,1.6372499236901765,390290
101,1.6305647764131574,750512
102,1.6292345966616903,842710
103,1.6288367305149398,293219
104,1.6275177051783216,120910
105,1.627356663275355,390890
106,1.6248922714798335,902781
107,1.6227621291340035,750522
108,1.6214984247455706,870380
109,1.6207034536073845,820900
110,1.6195093034785644,400299
111,1.618564607539799,854099
112,1.6169513000546316,281111
113,1.6145843807778393,291712
114,1.6135651260789794,291471
115,1.6102826930762946,900290
116,1.605954009943597,840890
117,1.6036624949131881,540211
118,1.6024218817843168,901320
119,1.5994667343449196,381010
120,1.5993719624469966,370244
121,1.5988421458716155,292214
122,1.5987950641413053,847790
123,1.5878990098313102,290346
124,1.5863236993177598,846031
125,1.5848020558592244,390530
126,1.5837178994632117,845891
127,1.5789818521997951,20752
128,1.5783283480358665,390710
129,1.5783091622273502,281217
130,1.5765012616709504,920510
131,1.5750988855119559,281214
132,1.57415633146219,285000
133,1.5733213176639265,810199
134,1.565774435829612,844540
135,1.5575947431258381,290920
136,1.554294399444571,291010
137,1.5541957332268261,847981
138,1.5540782619500553,284169
139,1.5516893823166227,700220
140,1.55120419015285,291422
141,1.5484203108200318,731519
142,1.5482557657754206,852792
143,1.545695382120387,903190
144,1.5455224678555186,722511
145,1.5452849798376875,903110
146,1.5428795806211997,390440
147,1.5428632846543788,820770
148,1.5419242988552244,810929
149,1.5409583900559942,281290
150,1.5398176557477345,291462
151,1.5379066051574397,846610
