rank	DCI	category
1	2.177819548148684	China
2	1.8054951283113843	Turkey
3	1.373809193475565	Czechia
4	1.372406962397642	United States
5	1.2337384073343414	United Kingdom
6	1.0777087039521103	Italy
7	1.0753010399032021	Hungary
8	0.9697099964337423	Lithuania
9	0.9520786691089124	South Korea
10	0.8870688794958553	India
11	0.8424818992591656	Belgium
12	0.8001905710842404	Canada
13	0.7981522761881399	Sweden
14	0.7807507556438524	Ireland
15	0.7696470287040872	Netherlands
16	0.7632058229881672	Germany
17	0.7275566677826444	France
18	0.7258196835561861	Iran
19	0.6794747230190097	Denmark
20	0.6662667273269519	Spain
21	0.6210466499579241	Russia
22	0.6142246969086124	Brazil
23	0.5175094066931687	Australia
24	0.5001237618992354	Singapore
25	0.49810407847037025	Croatia
26	0.48798696003107644	Bangladesh
27	0.481602627396458	Mexico
28	0.4772390046744718	Serbia
29	0.47527404159298237	Greece
30	0.47395306030907164	Philippines
31	0.4723395878631586	Poland
32	0.44894433048840054	Austria
33	0.3999644468174312	Finland
34	0.38882152764594946	Israel
35	0.3635726008677341	Japan
36	0.33054925480868297	Romania
37	0.2614568582763301	Thailand
38	0.19586154940723444	Portugal
39	0.1837966581961924	Latvia
40	0.18364511189620625	Switzerland
41	0.12293857999231833	Slovakia
42	0.03744590248194653	Ukraine
43	-0.008987655637883252	Slovenia
44	-0.1548133631568678	Moldova
45	-0.18219891333387161	Bulgaria
46	-0.23334870614976325	Peru
47	-0.24149933635439444	New Zealand
48	-0.2626088947352231	Argentina
49	-0.2713827769445317	Estonia
50	-0.3067012337985549	Norway
51	-0.3205554387833089	Armenia
52	-0.33368319529651125	Egypt
53	-0.33731727859514277	Lebanon
54	-0.3861162067568414	United Arab Emirates
55	-0.4958200025728944	Vietnam
56	-0.5514154960210336	Malaysia
57	-0.679150855645975	Uruguay
58	-0.7111850817742342	Chile
59	-0.7192780783181415	Colombia
60	-0.9483036489431871	South Africa
61	-0.9815487850839034	Indonesia
62	-1.0132293707389453	Cyprus
63	-1.0874877300241743	Saudi Arabia
64	-1.1528437360563901	North Korea
65	-1.1871641272050646	Jordan
66	-1.3393091568496582	Iceland
67	-1.60942730101871	Pakistan
68	-1.8311793630026494	Georgia
69	-1.9067820493515562	Kazakhstan
70	-2.1124128153886037	Qatar
71	-2.347658807883856	Belarus
72	-2.500478934297759	Ecuador
73	-2.8011950410691973	Kuwait
