rank	DCI	category
1	6.284977352286442	Cayman Islands
2	5.7708678920059	Georgia
3	1.0796879365403127	Tunisia
4	1.0314623632956934	Canada
5	0.8362348814695174	New Zealand
6	0.7350725199317857	Zimbabwe
7	0.39883070614730964	Monaco
8	0.38545399272381814	China
9	0.2728901488288888	United States
10	0.2342571745482563	Sweden
11	0.19136324120723422	South Africa
12	0.09271702318163798	Brazil
13	0.08671962536691585	Chile
14	0.06429918048346683	United Kingdom
15	0.0605702779722234	Iran
16	0.05389420891261142	Belgium
17	0.05220891409720604	Guatemala
18	0.040615640057923216	Hungary
19	0.031062836713339283	Argentina
20	0.027629187034024137	Germany
21	0.02658726037720308	Spain
22	0.010786855954584127	Ireland
23	-0.0024501762222886993	Thailand
24	-0.011043908730134415	Turkey
25	-0.0325305014619542	Austria
26	-0.03464455851394926	Italy
27	-0.036844002220092896	South Korea
28	-0.0447030774934993	Lithuania
29	-0.04801286338183229	Estonia
30	-0.05282539795789668	Russia
31	-0.05392834311222493	Luxembourg
32	-0.05596637969098962	Croatia
33	-0.057516783387941244	Japan
34	-0.05794408956063617	Netherlands
35	-0.05916816533661039	Czechia
36	-0.060162035352832176	Denmark
37	-0.06103454911527192	France
38	-0.08477249850633556	Singapore
39	-0.08496141812010262	Romania
40	-0.0880316334149108	Mexico
41	-0.09177694261388558	India
42	-0.09423055125547022	Finland
43	-0.10060385593683273	Israel
44	-0.1203336387395171	Poland
45	-0.12604929886847843	Australia
46	-0.14050300220485856	Armenia
47	-0.14148903434060855	Kazakhstan
48	-0.14247506647635858	Malta
49	-0.1733223861792357	Latvia
50	-0.18435168237342464	Pakistan
51	-0.2403560920242722	Portugal
52	-0.2692253632668344	Switzerland
53	-0.28269037134171876	Serbia
54	-0.2857706840119501	Costa Rica
55	-0.2857706840119501	Kyrgyzstan
56	-0.2857706840119501	Paraguay
57	-0.2947467396852513	Ukraine
58	-0.2973916380195234	Indonesia
59	-0.30078605629883204	Vietnam
60	-0.30120909658060346	Malaysia
61	-0.30639704808111534	Greece
62	-0.30705440283828206	Norway
63	-0.3072299755663068	Cyprus
64	-0.31650758069909285	Lebanon
65	-0.3367643935534741	Ecuador
66	-0.34082864631198273	Saudi Arabia
67	-0.34389779113910596	Oman
68	-0.40145136987768065	United Arab Emirates
69	-0.4063122535888544	Bulgaria
70	-0.4200353054807231	Egypt
71	-0.4400535718385065	Bangladesh
72	-0.4417244761585231	Peru
73	-0.4666144490900717	Dominican Republic
74	-0.5285695253718768	Jordan
75	-0.5352015103280343	Qatar
76	-0.5943364596650629	Slovenia
77	-0.5943364596650629	Colombia
78	-0.5943364596650629	Uruguay
79	-0.5943364596650629	Kuwait
80	-0.5943364596650629	Sri Lanka
81	-0.6002173341396726	Philippines
82	-0.6284258464255993	Slovakia
83	-0.754500221966229	Moldova
84	-0.914663984267395	Tajikistan
85	-0.914663984267395	Trinidad and Tobago
86	nan	Iceland
87	nan	Azerbaijan
88	nan	Belarus
89	nan	Bosnia and Herzegovina
90	nan	North Korea
91	nan	Tanzania
92	nan	Bahrain
93	nan	Kosovo
94	nan	Nicaragua
95	nan	Venezuela
96	nan	Botswana
97	nan	Cameroon
98	nan	Cuba
99	nan	Kenya
100	nan	Laos
101	nan	Liechtenstein
102	nan	Maldives
103	nan	Mongolia
104	nan	Montenegro
105	nan	Morocco
106	nan	Swaziland
