rank	DCI	category
1	1.9550116054166347	China
2	1.51895468996625	Turkey
3	1.4340843256201201	Czechia
4	1.3563558039443524	United States
5	1.2749259090810567	Lithuania
6	1.1326607330200427	Hungary
7	1.1174860527665895	Italy
8	1.0483907648308994	Israel
9	1.0114406589310054	South Korea
10	0.9992915851887431	Iran
11	0.9727321375285015	Netherlands
12	0.9277904640656309	United Kingdom
13	0.9057893633069218	Belgium
14	0.8822944164295629	Canada
15	0.8077306827476803	Germany
16	0.7832825730968477	Sweden
17	0.7797924134140486	Russia
18	0.7690620084870216	Serbia
19	0.7600395281157467	France
20	0.7271908127961956	India
21	0.7227500165252038	Singapore
22	0.7164594524012151	Brazil
23	0.6886769831558877	Denmark
24	0.677991386357497	Spain
25	0.6628179623185637	Romania
26	0.5811979499375656	Philippines
27	0.5239421945627778	Australia
28	0.5185310625195649	Finland
29	0.516483667371073	Ireland
30	0.49845076033748215	Slovakia
31	0.48765033686970294	Japan
32	0.46748573646516123	Thailand
33	0.3974745498319878	Austria
34	0.3195801623107557	Switzerland
35	0.3188341758941785	Poland
36	0.31498097933406843	Greece
37	0.30976841159946983	Mexico
38	0.27326892739275743	Croatia
39	0.2603014707350492	Latvia
40	0.15972748847014648	Portugal
41	0.025062250119696896	Ukraine
42	-0.037987440139023096	Slovenia
43	-0.05413682628518299	Estonia
44	-0.08629399959369537	New Zealand
45	-0.13685241564756678	Argentina
46	-0.13731913132680648	Bulgaria
47	-0.18319102756992414	United Arab Emirates
48	-0.36515761003379077	Egypt
49	-0.40184683289284967	Norway
50	-0.4432425379131076	Armenia
51	-0.4833453191110527	Saudi Arabia
52	-0.5026911033702088	Malaysia
53	-0.536927624396995	Lebanon
54	-0.5935856652473918	Vietnam
55	-0.6170889712931803	Cyprus
56	-0.9222978244979388	Colombia
57	-1.011416240271313	Peru
58	-1.0468936624251146	Moldova
59	-1.1051191046495463	Indonesia
60	-1.1498833733616287	Pakistan
61	-1.1640386059399814	Chile
62	-1.1906078561373785	North Korea
63	-1.1911863239491551	Jordan
64	-1.220309012589844	South Africa
65	-1.2221192874224942	Uruguay
66	-1.3078568413162666	Bangladesh
67	-1.5624888703396143	Iceland
68	-1.5981796122059635	Qatar
69	-1.6939426693739543	Georgia
70	-1.6979483976241283	Kazakhstan
71	-1.870507132936989	Ecuador
72	-2.265510571273644	Belarus
73	-2.8057705621279196	Kuwait
