ranking,country,ECI
1,China,1.6300927904698994
2,Turkey,1.4989705016577326
3,Chinese Taipei,1.4834308674298717
4,Sweden,1.3891330597279286
5,Czechia,1.327631724264049
6,Italy,1.2238362956424855
7,Belgium,1.152307338091596
8,South Korea,1.150187333422038
9,United States,1.1433821184327566
10,Israel,1.1355593012020873
11,Serbia,1.00587861556522
12,India,0.9896605798431005
13,Hungary,0.9501224927558425
14,United Kingdom,0.8924583657438628
15,Slovenia,0.8134033916160422
16,Lithuania,0.8129369905887395
17,Netherlands,0.7980545578084417
18,Canada,0.7730385027076565
19,Mexico,0.756120865444583
20,Iran,0.7445880400421871
21,Finland,0.73665922257804
22,Germany,0.7078907592121368
23,Latvia,0.6947255302141812
24,Philippines,0.6835955056990013
25,Romania,0.6550602428467496
26,Denmark,0.6504598327138086
27,France,0.6503962325737218
28,Hong Kong,0.5916085030868764
29,Slovakia,0.5817080812800401
30,Singapore,0.5436963975548639
31,Australia,0.5049215121486468
32,Croatia,0.4973318954316288
33,Spain,0.4913746823101706
34,Taiwan,0.4570306066633298
35,Russia,0.40812209893662504
36,Thailand,0.40685009613489015
37,Portugal,0.4003204817526513
38,Switzerland,0.3640684019032082
39,Greece,0.3210323071111793
40,Uruguay,0.29518945018926634
41,Brazil,0.2937266469672713
42,Puerto Rico,0.2611209751494681
43,Ukraine,0.25520616212140107
44,Jordan,0.21051646368711685
45,New Zealand,0.1939592272178683
46,Ireland,0.19330202577030528
47,Austria,0.17888599401731037
48,Japan,0.10447383011582194
49,Argentina,0.06478734270169477
50,Poland,-0.007398816296757682
51,Moldova,-0.038584084985956967
52,Egypt,-0.06478734270169477
53,Bulgaria,-0.0817049799647682
54,Malaysia,-0.1076962372135502
55,Estonia,-0.16635676642022215
56,Pakistan,-0.2442669380264814
57,Lebanon,-0.25552416282183477
58,Armenia,-0.27140299779682475
59,Guatemala,-0.3582171890152279
60,United Arab Emirates,-0.428601344044556
61,Peru,-0.5385659862545333
62,Kyrgyzstan,-0.5821532822606474
63,Cyprus,-0.6267793805548448
64,Qatar,-0.659893853493342
65,Norway,-0.6885775166724628
66,Malta,-0.8072553780743238
67,Vietnam,-0.8853139500074522
68,Saudi Arabia,-0.9109236064157137
69,South Africa,-1.097950418364127
70,Colombia,-1.16869497418728
71,Indonesia,-1.221949491486579
72,Chile,-1.290510442500087
73,Bangladesh,-1.3236673155319754
74,Georgia,-1.3968074766317289
75,Iceland,-1.4006234850369335
76,North Korea,-1.4048210942826584
77,Kazakhstan,-1.563015842725082
78,Macau (China),-1.624559578282353
79,Belarus,-1.6574620507538942
80,Ecuador,-1.67172968218002
81,Dominican Republic,-1.7952411542284734
82,Bosnia and Herzegovina,-1.8607916986112092
83,Sri Lanka,-2.8067377821680224
84,Kuwait,-3.059887539759952
