rank	PCI	category
1	2.882304939357125	Entertainment, Content Creation and Streaming Media Design Award Category.
2	2.882304939357125	Industrial Equipment and Heavy-duty Appliances Design Award Category.
3	2.331779592772401	Heavy Machinery Design Award Category.
4	2.0236913033464434	Vehicle Parts, Auto Accessories and Care Products Design Award Category.
5	1.560781946457886	Manufacturing and Processing Machinery Design Award Category.
6	1.389284019412809	Camera and Photography Equipment Design Award Category.
7	1.3042389179647333	Wholesale, Retail Trade, Commerce and E-Commerce Design Award Category.
8	1.269767293779138	Outdoor Gear and Camping Equipment Design Award Category.
9	1.2514840362531348	Car and Land Based Motor Vehicles Design Award Category.
10	1.1750261292427533	Computers and Peripheral Devices Design Award Category.
11	1.026660693747653	Hardware, Power and Hand Tools Design Award Category.
12	1.0013083760504378	Video and Broadcasting Equipment Design Award Category.
13	0.994722606786729	Cybernetics, Prosthesis and Implant Design Award Category.
14	0.9618371176639828	Disposable and Single-Use Product Design Award Category.
15	0.9065608174956893	Scientific Instruments and Research Equipment Design Award Category.
16	0.8876899896241249	Heating, Ventilation, and Air Conditioning Products Design Award Category.
17	0.7679115594182611	Hospitality, Restaurant and Catering Products Design Award Category.
18	0.6752790089250582	Aerospace and Aircraft Design Award Category.
19	0.6140692644171918	Security, Safety and Surveillance Products Design Award Category.
20	0.566361707109006	Audio and Sound Equipment Design Award Category.
21	0.5662790012068953	Construction and Real Estate Projects Design Award Category.
22	0.538615551389923	Futuristic Design Award Category.
23	0.5127071811436087	Robotics, Automaton and Automation Design Award Category.
24	0.5027720483283352	Wearable Technologies Design Award Category.
25	0.5027691437015254	Performing Arts, Style and Scenery Design Award Category.
26	0.4883015532689564	Energy Products, Projects and Devices Design Award Category.
27	0.4860473010687807	Footwear, Shoes and Boots Design Award Category.
28	0.4851103159142531	Prosumer Products, Tools, and Machinery Design Award Category.
29	0.4041749525689686	Safety Clothing and Personal Protective Equipment Design Award Category.
30	0.39868685713742696	Urban Planning and Urban Design Award Category.
31	0.3948905022452657	Engineering, Construction and Infrastructure Design Award Category.
32	0.3436893305179802	Education, Teaching Aid and Training Content Design Award Category.
33	0.3219069309480653	Sports, Entertainment and Recreation Equipment Design Award Category.
34	0.294985015779432	3D Printed Forms and Products Design Award Category.
35	0.2800811622264391	Music, Audio and Sound Design Award Category.
36	0.24549670508612123	Idea Design Award Category.
37	0.2298668196379551	Engineering and Technical Design Award Category.
38	0.2266494613490056	Meta, Strategic and Service Design Award Category.
39	0.22301808929237038	Beauty, Personal Care and Cosmetic Products Design Award Category.
40	0.2198708120152402	Public Awareness, Volunteerism, and Society Design Award Category.
41	0.21359825669444488	Digital and Broadcasting Media Design Award Category.
42	0.16325159566539035	Digital and Electronic Devices Design Award Category.
43	0.15503308131419102	Agricultural Tools, Equipment and Machinery Design Award Category.
44	0.15390263001367122	Medical Devices and Medical Equipment Design Award Category.
45	0.08928043120469142	Garden and Outdoor Furniture Design Award Category.
46	0.06120110790400664	Baby, Kids' and Children's Products Design Award Category.
47	0.00036183592497073745	Awards, Prize and Competitions Design Award Category.
48	-0.049167566146197446	Design Quality and Innovation Award Category.
49	-0.07145243462509954	Street Furniture Design Award Category.
50	-0.07982946677006661	Home Appliances Design Award Category.
51	-0.08191645116698994	Yacht and Marine Vessels Design Award Category.
52	-0.10245382148074426	Musical Instruments Design Award Category.
53	-0.11218472681501244	Information Technologies Design Award Category.
54	-0.16604467739804776	Art Materials, Stationery Supplies and Gift Items Design Award Category.
