ranking,country,ECI
0,United States of America,1.7823369967230989
1,United Kingdom,1.6715702907120589
2,Sweden,1.6615005901656006
3,Australia,1.6463960393459134
4,New Zealand,1.6061172371600807
5,Japan,1.5910126863403933
6,Switzerland,1.5205247825151862
7,Saint Vincent and the Grenadines,1.5205247825151862
8,Canada,1.3140959213127932
9,Korea (Republic of),1.2335383169411278
10,Netherlands,1.2083640655749823
11,Germany,1.198294365028524
12,Belize,1.188224664482066
13,Singapore,1.1781549639356077
14,Norway,0.9868306535529022
15,Denmark,0.9666912524599859
16,Brazil,0.9364821508206113
17,Israel,0.9113078994544659
18,Malta,0.9113078994544659
19,Belgium,0.9062730491812367
20,Ireland,0.8609593967221749
21,Austria,0.7703320918040513
22,India,0.7703320918040513
23,Bahamas,0.7703320918040513
24,Poland,0.7652972415308221
25,Czech Republic,0.7300532896182185
26,South Africa,0.7300532896182185
27,Peru,0.6897744874323858
28,Turkey,0.6847396371591566
29,Italy,0.6797047868859275
30,Malaysia,0.6192865836071785
31,Slovenia,0.6192865836071785
32,Slovakia,0.488380476503222
33,Hungary,0.4732759256835347
34,France,0.4531365245906184
35,Iceland,0.4481016743173893
36,Philippines,0.3977531715850983
37,Qatar,0.3977531715850983
38,Mexico,0.3625092196724947
39,Liechtenstein,0.32726526775989107
40,Ukraine,0.24167281311499647
41,Greece,0.23160311256853827
42,Belarus,0.216498561748851
43,Croatia,0.17118490928978916
44,Luxembourg,0.1510455081968728
45,Panama,0.1460106579236437
46,Spain,0.1409758076504146
47,Portugal,0.1409758076504146
48,Seychelles,0.12587125683072733
49,Indonesia,0.11580155628426914
50,Estonia,0.08055760437166548
51,Barbados,0.06041820327874912
52,Bulgaria,0.010069700546458185
53,Latvia,-0.05034850273229093
54,Samoa,-0.06545305355197821
55,Egypt,-0.09566215519135277
56,United Arab Emirates,-0.10573185573781095
57,Russian Federation,-0.12587125683072733
58,Algeria,-0.2215334120220801
59,Lithuania,-0.25677736393468376
60,Romania,-0.26181221420791284
61,Viet Nam,-0.2668470644811419
62,Argentina,-0.3020910163937456
63,Cuba,-0.31719556721343284
64,Sri Lanka,-0.33733496830634924
65,Andorra,-0.3474046688528074
66,Colombia,-0.38264862076541106
67,Pakistan,-0.3977531715850983
68,Kenya,-0.41285772240478563
69,China,-0.4279622732244729
70,Armenia,-0.4430668240441602
71,Brunei Darussalam,-0.4481016743173893
72,Costa Rica,-0.5085198775961384
73,Cyprus,-0.5135547278693675
74,Monaco,-0.5538335300552002
75,Chile,-0.5840426316945748
76,Georgia,-0.6746699366126985
77,Oman,-0.6797047868859275
78,Cambodia,-0.6847396371591566
79,Iran (Islamic Republic of),-0.6897744874323858
80,Tunisia,-0.7350881398914476
81,El Salvador,-0.7652972415308221
82,North Macedonia (Republic of),-0.8156457442631131
83,Moldova (Republic of),-0.9666912524599859
84,Saudi Arabia,-0.9969003540993604
85,Serbia,-1.0623534076513386
86,Lebanon,-1.0925625092907132
87,Jordan,-1.1831898142088368
88,Venezuela (Bolivarian Republic of),-1.188224664482066
89,Nigeria,-1.2436080174875859
90,Ecuador,-1.2687822688537314
91,Morocco,-1.7118490928978916
92,Bosnia and Herzegovina,-1.9283476546467426
93,Dominican Republic,-1.938417355193201
94,Antigua and Barbuda,-1.9786961573790336
95,Mauritius,-2.0491840612042407
96,Curacao,-2.0642886120239283
97,Albania,-2.381484179237361
98,Syrian Arab Republic,-3.202164773773703
