ranking,product,ECI
0,PARTS AND ACCESSORIES FOR LIGHTING APPARATUS, NOT INCLUDED IN OTHER CLASSES OR SUBCLASSES,2.493985782275166
1,Other sanitary equipment and accessories, not included in other classes or subclasses,2.4448432052845224
2,Stands and holders for household appliances and utensils,2.4079862725415397
3,Sanitary appliances for HYGIENIC PURPOSES,2.4079862725415397
4,Cooling and freezing devices, INSULATING containers,2.4079862725415397
5,Equipment for urination and defecation,2.321986762807913
6,HITCHING POSTS,2.063988233607034
7,HAIR STYLING APPARATUS AND INSTRUMENTS,1.8919892141397812
8,LACE,1.8428466371491374
9,Recording and data storage media,1.7937040601584937
10,Hardware for curtains,1.7814184159108328
11,PHOTOCOPYING APPARATUS AND ENLARGERS,1.7077045504248674
12,PHOTOGRAPHIC CAMERAS AND FILM CAMERAS,1.5111342424622927
13,DEVELOPING APPARATUS AND EQUIPMENT,1.486562953966971
14,TAPESTRIES,1.4005634442333446
15,ACCESSORIES,1.3759921557380226
16,LUMINOUS DEVICES FOR VEHICLES,1.2899926460043962
17,MARKERS, MARKS AND SHACKLES,1.179421847775448
18,PROJECTORS AND VIEWERS,1.179421847775448
19,ANIMAL CLOTHING,1.167136203527787
20,DEVICES AND EQUIPMENT AGAINST FIRE HAZARDS,1.167136203527787
21,TELPHER CARRIERS, CHAIR LIFTS AND SKI LIFTS,1.1425649150324653
22,WHIPS AND PRODS,1.1057079822894824
23,TARGETS AND ACCESSORIES,1.0934223380418215
24,HUNTING AND FISHING EQUIPMENT,1.0442797610511778
25,PERAMBULATORS, INVALID CHAIRS, STRETCHERS,1.0074228283081952
26,TRACTORS,1.0074228283081952
27,ANIMAL FOODSTUFFS,1.0074228283081952
28,PERCHES AND OTHER CAGE ATTACHMENTS,0.9951371840605342
29,WASHING, CLEANING AND DRYING MACHINES,0.9705658955652124
30,BOOKBINDING MACHINES, PRINTERS’ STAPLING MACHINES, GUILLOTINES AND TRIMMERS (FOR BOOKBINDING),0.9582802513175515
31,TENTS AND ACCESSORIES THEREOF,0.884566385831586
32,PHARMACEUTICAL PRODUCTS,0.8477094530886032
33,CONSTRUCTION AND MINING MACHINERY,0.8354238088409424
34,AMMUNITION, ROCKETS AND PYROTECHNIC ARTICLES,0.7985668760979596
35,BRUSHES FOR MACHINES,0.7985668760979596
36,ROPES AND HOOPING MATERIALS,0.7739955876026378
37,PAINTBRUSHES, BRUSHES FOR USE IN COOKING,0.7494242991073159
38,TOBACCO, CIGARS AND CIGARETTES,0.7125673663643332
39,BICYCLE AND MOTORCYCLE RACKS,0.6265678566307067
40,TOOLS AND IMPLEMENTS FOR DRILLING, MILLING OR DIGGING,0.6019965681353849
41,OTHER TIME-MEASURING INSTRUMENTS,0.5651396353924022
42,HAMMERS AND OTHER SIMILAR TOOLS AND IMPLEMENTS,0.5528539911447412
43,FEEDERS AND WATERERS,0.5037114141540976
44,OFFICE EQUIPMENT,0.5037114141540976
45,SCREWDRIVERS AND OTHER SIMILAR TOOLS AND IMPLEMENTS,0.5037114141540976
46,PERCUSSION INSTRUMENTS,0.47914012565877573
47,KEYBOARD INSTRUMENTS,0.47914012565877573
48,COSMETIC PRODUCTS,0.46685448141111485
49,Table cutlery,0.46685448141111485
50,MACHINES AND APPLIANCES FOR PREPARING FOOD OR DRINK, NOT ELSEWHERE SPECIFIED,0.46685448141111485
51,OTHER VEHICLES,0.4545688371634539
52,WIND INSTRUMENTS,0.42999754866813206
53,Wigs and false beauty articles,0.42999754866813206
54,OTHER MEASURING INSTRUMENTS, APPARATUS AND DEVICES,0.40542626017281025
55,ROAD VEHICLE TRAILERS,0.3808549716774884
56,SADDLERY,0.3808549716774884
57,PUMPS AND COMPRESSORS,0.3808549716774884
58,TOILET ARTICLES AND BEAUTY PARLOR EQUIPMENT,0.3808549716774884
59,Beds, nests and furniture for animals,0.3808549716774884
60,REFRIGERATION MACHINERY AND APPARATUS,0.3808549716774884
61,EQUIPMENT FOR THE RECORDING OR REPRODUCTION OF SOUNDS OR PICTURES,0.3808549716774884
62,SPUN ARTICLES,0.3808549716774884
63,DEVICES AND EQUIPMENT FOR ACCIDENT PREVENTION AND FOR RESCUE, NOT ELSEWHERE SPECIFIED,0.3562836831821666
64,PIPES, CIGAR AND CIGARETTE HOLDERS,0.3562836831821666
65,CIGAR CASES, CIGARETTE CASES, TOBACCO JARS AND POUCHES,0.34399803893450565
66,PENS, CAGES, KENNELS AND SIMILAR SHELTERS,0.34399803893450565
67,FIREPLACE IMPLEMENTS,0.33171239468684477
68,TYPE AND TYPE FACES,0.27028417344854017
69,AGRICULTURAL AND FORESTRY MACHINERY,0.27028417344854017
70,CALENDARS,0.27028417344854017
71,OPTICAL ARTICLES,0.23342724070555743
72,STRINGED INSTRUMENTS,0.23342724070555743
73,STEPS, LADDERS AND SCAFFOLDS,0.19657030796257466
74,PRINTING MACHINES,0.19657030796257466
75,FASTENING, SUPPORTING OR MOUNTING DEVICES NOT INCLUDED IN OTHER CLASSES,0.18428466371491375
76,PROJECTILE WEAPONS,0.18428466371491375
77,FLAT-IRONS, AND WASHING, CLEANING AND DRYING EQUIPMENT,0.18428466371491375
78,ENGINES,0.17199901946725282
79,SCREEN DISPLAYS AND ICONS,0.15971337521959192
80,PROSTHETIC ARTICLES,0.15971337521959192
81,METAL FITTINGS AND MOUNTINGS FOR DOORS, WINDOWS AND FURNITURE, AND SIMILAR ARTICLES, NOT INCLUDED IN OTHER CLASSES OR SUBCLASSES,0.15971337521959192
82,PALLETS AND PLATFORMS FOR FORKLIFTS,0.13514208672427008
83,FLUID DISTRIBUTION EQUIPMENT,0.12285644247660917
84,CUTTING TOOLS AND IMPLEMENTS,0.12285644247660917
85,FRUIT, VEGETABLES AND PRODUCTS MADE FROM FRUITS AND VEGETABLES,0.12285644247660917
86,HANDCARTS, WHEELBARROWS,0.09828515398128733
87,SOLID FUEL,0.09828515398128733
88,AUTOMATIC VENDING MACHINES,0.08599950973362641
89,TOILET BRUSHES, CLOTHES BRUSHES AND SHOE BRUSHES,0.08599950973362641
90,BUTCHERS’ MEAT (INCLUDING PORK PRODUCTS), FISH,0.08599950973362641
91,POWER TRANSFORMERS, RECTIFIERS, BATTERIES AND ACCUMULATORS,0.08599950973362641
92,GLOVES,0.08599950973362641
93,MATCHES,0.08599950973362641
94,PARTS, EQUIPMENT AND ACCESSORIES FOR VEHICLES, NOT INCLUDED IN OTHER CLASSES OR SUBCLASSES,0.06142822123830458
95,HANDLES, KNOBS AND HINGES,0.024571288495321832
96,TYPEWRITERS AND CALCULATING MACHINES,0.012285644247660916
97,TRAPS, ARTICLES FOR PEST KILLING,-0.012285644247660916
98,BRUSHES AND BROOMS FOR CLEANING,-0.024571288495321832
99,OTHER HOUSEHOLD RECEPTACLES,-0.03685693274298275
100,APPLIANCES AND UTENSILS, HAND-OPERATED, FOR PREPARING FOOD OR DRINK,-0.03685693274298275
101,OTHER TOOLS AND IMPLEMENTS,-0.03685693274298275
102,ELEVATORS AND HOISTS FOR LOADING OR CONVEYING,-0.03685693274298275
103,APPARATUS AND EQUIPMENT FOR DOCTORS, HOSPITALS AND LABORATORIES,-0.06142822123830458
104,LOCKING OR CLOSING DEVICES,-0.09828515398128733
105,ARTIFICIAL FLOWERS, FRUIT AND PLANTS,-0.09828515398128733
106,MATERIALS FOR DRESSING WOUNDS, NURSING AND MEDICAL CARE,-0.11057079822894825
107,OTHER KITCHEN AND TABLE UTENSILS,-0.11057079822894825
108,OTHER AMUSEMENT AND ENTERTAINMENT ARTICLES,-0.11057079822894825
109,VEHICLES DRAWN BY ANIMALS,-0.11057079822894825
110,AIRCRAFT AND SPACE VEHICLES,-0.12285644247660917
111,MACHINE TOOLS, ABRADING AND FOUNDING MACHINERY,-0.12285644247660917
112,TYRES AND ANTI-SKID CHAINS FOR VEHICLES,-0.147427730971931
113,CHEESES, BUTTER AND BUTTER SUBSTITUTES, OTHER DAIRY PRODUCE,-0.147427730971931
114,MEDICAL INSTRUMENTS, INSTRUMENTS AND TOOLS FOR LABORATORY USE,-0.15971337521959192
115,TEACHING MATERIALS AND APPARATUS,-0.15971337521959192
116,GYMNASTICS AND SPORTS APPARATUS AND EQUIPMENT,-0.17199901946725282
117,LOCOMOTIVES AND ROLLING STOCK FOR RAILWAYS AND ALL OTHER RAIL VEHICLES,-0.17199901946725282
118,CLOTHES HANGERS,-0.18428466371491375
119,SHIPS AND BOATS,-0.19657030796257466
120,MISCELLANEOUS,-0.2088559522102356
121,SIGNALLING APPARATUS AND DEVICES,-0.2088559522102356
122,MECHANICAL INSTRUMENTS,-0.2088559522102356
123,TORCHES, HAND LAMPS AND LANTERNS,-0.2211415964578965
124,ASHTRAYS,-0.2211415964578965
125,REFUSE AND TRASH CONTAINERS AND STANDS THEREFOR,-0.23342724070555743
126,CHINA, GLASSWARE, DISHES AND OTHER ARTICLES OF A SIMILAR NATURE,-0.23342724070555743
127,TELECOMMUNICATIONS EQUIPMENT, WIRELESS REMOTE CONTROLS AND RADIO AMPLIFIERS,-0.24571288495321833
128,OTHER WEAPONS,-0.25799852920087923
129,TEXTILE, SEWING, KNITTING AND EMBROIDERING MACHINES, INCLUDING THEIR INTEGRAL PARTS,-0.27028417344854017
130,RIBBONS, BRAIDS AND OTHER DECORATIVE TRIMMINGS,-0.3071411061915229
131,CLOCKS AND ALARM CLOCKS,-0.31942675043918384
132,[vacant],-0.33171239468684477
133,VENTILATION AND AIR-CONDITIONING EQUIPMENT,-0.3562836831821666
134,HABERDASHERY AND CLOTHING ACCESSORIES,-0.3685693274298275
135,MOTOR CARS, BUSES AND LORRIES,-0.3808549716774884
136,CURTAINS AND INDOOR BLINDS,-0.3808549716774884
137,CLOSING MEANS AND ATTACHMENTS,-0.3931406159251493
138,MEDALS AND BADGES,-0.442283192915793
139,BEDS,-0.49142576990643666
140,HEATING EQUIPMENT,-0.5037114141540976
141,INSTRUMENTS, APPARATUS AND DEVICES FOR CHECKING, SECURITY OR TESTING,-0.5037114141540976
142,SPECIAL-PURPOSE VEHICLES,-0.5159970584017585
143,WATCHES AND WRIST WATCHES,-0.5159970584017585
144,JEWELLERY,-0.5774252796400631
145,COOKING APPLIANCES, UTENSILS AND CONTAINERS,-0.5774252796400631
146,UNDERGARMENTS, LINGERIE, CORSETS, BRASSIÈRES, NIGHTWEAR,-0.5774252796400631
147,OTHER FURNITURE AND FURNITURE PARTS,-0.589710923887724
148,HAMPERS, CRATES AND BASKETS,-0.589710923887724
149,MIRRORS AND FRAMES,-0.6019965681353849
150,PUBLIC LIGHTING FIXTURES, OUTDOOR LIGHTING, STAGE LIGHTING,-0.6265678566307067
151,CANDLESTICKS AND CANDELABRA,-0.6388535008783677
152,UMBRELLAS, PARASOLS, SUNSHADES AND WALKING STICKS,-0.6388535008783677
153,CYCLES AND MOTORCYCLES,-0.6511391451260286
154,HOUSES, GARAGES AND OTHER BUILDINGS,-0.7002817221166723
155,COMPOSITE FURNITURE,-0.724853010611994
156,DISPLAY AND SALES EQUIPMENT,-0.7617099433549768
157,BOOKS AND OTHER OBJECTS OF SIMILAR OUTWARD APPEARANCE,-0.7862812318502986
158,LUMINOUS SOURCES, ELECTRIC OR NON-ELECTRIC,-0.8477094530886032
159,BAKERS’ PRODUCTS, BISCUITS, PASTRY, PASTA AND OTHER CEREAL PRODUCTS, CHOCOLATES, CONFECTIONERY, ICES,-0.8599950973362641
160,GENERATORS AND MOTORS,-0.8722807415839251
161,EQUIPMENT FOR DISTRIBUTION OR CONTROL OF ELECTRIC POWER,-0.884566385831586
162,TRUNKS, SUITCASES, BRIEFCASES, HANDBAGS, KEYHOLDERS, CASES SPECIALLY DESIGNED FOR THEIR CONTENTS, WALLETS AND SIMILAR ARTICLES,-0.884566385831586
163,SIGNS, SIGNBOARDS AND ADVERTISING DEVICES,-0.9337089628222297
164,GAMES AND TOYS,-0.9951371840605342
165,LAMPS, STANDARD LAMPS, CHANDELIERS, WALL AND CEILING FIXTURES, PHOTOGRAPHIC AND CINEMATOGRAPHIC PROJECTOR LAMPS,-1.0074228283081952
166,MATTRESSES AND CUSHIONS,-1.019708472555856
167,TEXTILE FABRICS,-1.019708472555856
168,CASINGS, CASES, DIALS, HANDS AND ALL OTHER PARTS AND ACCESSORIES OF INSTRUMENTS FOR MEASURING, CHECKING AND SIGNALLING,-1.0934223380418215
169,WRITING PAPER, CARDS FOR CORRESPONDENCE AND ANNOUNCEMENTS,-1.191707492023109
170,EMBROIDERY,-1.2039931362707699
171,FANS,-1.2162787805184307
172,TABLES AND SIMILAR FURNITURE,-1.2531357132614134
173,FOOTWEAR, SOCKS AND STOCKINGS,-1.2777070017567353
174,GARMENTS,-1.3882777999856835
175,MATERIALS AND INSTRUMENTS FOR WRITING BY HAND, FOR DRAWING, FOR PAINTING, FOR SCULPTURE, FOR ENGRAVING AND FOR OTHER ARTISTIC TECHNIQUES,-1.4005634442333446
176,BUILDING MATERIALS,-1.4128490884810054
177,STORAGE CANS, DRUMS AND CASKS,-1.4251347327286663
178,CARPETS, MATS AND RUGS,-1.4374203769763272
179,DATA PROCESSING EQUIPMENT AS WELL AS PERIPHERAL APPARATUS AND DEVICES,-1.449706021223988
180,SEATS,-1.4619916654716492
181,PREFABRICATED OR PRE-ASSEMBLED BUILDING PARTS,-1.47427730971931
182,HEADWEAR,-1.5357055309576146
183,FLAGS, FESTIVE DECORATIONS,-1.5848481079482581
184,NECKTIES, SCARVES, NECKERCHIEFS AND HANDKERCHIEFS,-1.8428466371491374
185,BOTTLES, FLASKS, POTS, CARBOYS, DEMIJOHNS, AND PRESSURIZED CONTAINERS,-1.8551322813967983
186,STORAGE FURNITURE,-2.063988233607034
187,ARTIFICIAL OR NATURAL SHEET MATERIAL,-2.1499877433406605
188,BLANKETS AND OTHER COVERING MATERIALS, HOUSEHOLD LINEN AND NAPERY,-2.1499877433406605
189,LIGHTERS,-2.186844676083643
190,BOXES, CASES, CONTAINERS, TIN CANS,-2.358843695550896
191,OTHER PRINTED MATTER,-2.5676996477611316
192,TRINKETS, TABLE, MANTEL AND WALL ORNAMENTS, FLOWER VASES AND POTS,-2.67827044599008
193,BAGS, SACHETS, TUBES AND CAPSULES,-2.8502694654573326
