rank	PCI	category
1	2.6559520381846853	Air fresheners
2	2.6559520381846853	Grooming articles for animals
3	2.6559520381846853	TOFU AND TOFU PRODUCTS
4	2.061060806642806	PARTS AND ACCESSORIES FOR LIGHTING APPARATUS, NOT INCLUDED IN OTHER CLASSES OR SUBCLASSES
5	2.003699386479667	Devices for carrying and walking with babies and children
6	1.9174986634205666	Litter BOXES and devices for removing animal excrement
7	1.9174986634205666	Railway infrastructure components
8	1.78751300565941	Cooling and freezing devices, INSULATING containers
9	1.7519567481921619	Sanitary appliances for HYGIENIC PURPOSES
10	1.7227949887957403	GRAPHIC SYMBOLS AND LOGOS, SURFACE PATTERNS, ORNAMENTATION
11	1.6995718664657606	Stands and holders for household appliances and utensils
12	1.6894753890007355	HITCHING POSTS
13	1.6701923081054877	Other sanitary equipment and accessories, not included in other classes or subclasses
14	1.64083418652296	Handles and grips for the transport or handling of packages and containers
15	1.609731718323172	Solar equipment
16	1.525957925694034	Equipment for urination and defecation
17	1.4288864681872968	Recording and data storage media
18	1.424140808304009	HAIR STYLING APPARATUS AND INSTRUMENTS
19	1.3737566861817365	Holders, stands and supports for electronic equipment, not included in other classes
20	1.2997585457594705	LACE
21	1.249351475933675	PHOTOCOPYING APPARATUS AND ENLARGERS
22	1.1111668240165022	DEVELOPING APPARATUS AND EQUIPMENT
23	1.1003848237903402	Hardware for curtains
24	0.9939739957909437	PHOTOGRAPHIC CAMERAS AND FILM CAMERAS
25	0.9142137747061992	PROJECTORS AND VIEWERS
26	0.9037889087853401	WHIPS AND PRODS
27	0.8610880202852811	ANIMAL FOODSTUFFS
28	0.8200693298733653	ACCESSORIES
29	0.7796223563332637	TARGETS AND ACCESSORIES
30	0.7747457931224828	TELPHER CARRIERS, CHAIR LIFTS AND SKI LIFTS
31	0.7675503949718984	PHARMACEUTICAL PRODUCTS
32	0.7371353859685528	LUMINOUS DEVICES FOR VEHICLES
33	0.7346630625980709	OTHER TIME-MEASURING INSTRUMENTS
34	0.7229987398167904	TAPESTRIES
35	0.7161509827882365	MARKERS, MARKS AND SHACKLES
36	0.7038003011938558	PERCHES AND OTHER CAGE ATTACHMENTS
37	0.7016151954901277	ANIMAL CLOTHING
38	0.6510916782015882	TENTS AND ACCESSORIES THEREOF
39	0.6472382485583097	BRUSHES FOR MACHINES
40	0.642952538142811	TRACTORS
41	0.6120546689731207	Wigs and false beauty articles
42	0.5931008653241997	DEVICES AND EQUIPMENT AGAINST FIRE HAZARDS
43	0.5883032343290281	HAMMERS AND OTHER SIMILAR TOOLS AND IMPLEMENTS
44	0.5595494479982432	SCREWDRIVERS AND OTHER SIMILAR TOOLS AND IMPLEMENTS
45	0.553519305004975	HUNTING AND FISHING EQUIPMENT
46	0.5533091998671099	BOOKBINDING MACHINES, PRINTERS’ STAPLING MACHINES, GUILLOTINES AND TRIMMERS (FOR BOOKBINDING)
47	0.5360774619447884	PERAMBULATORS, INVALID CHAIRS, STRETCHERS
48	0.5314586772058514	TOBACCO, CIGARS AND CIGARETTES
49	0.508532541413756	CONSTRUCTION AND MINING MACHINERY
50	0.4827465581656111	WIND INSTRUMENTS
51	0.4689935012899619	ROPES AND HOOPING MATERIALS
52	0.41045838141056135	COSMETIC PRODUCTS
53	0.38601988299364476	ELEVATORS AND HOISTS FOR LOADING OR CONVEYING
54	0.3822030551992106	Beds, nests and furniture for animals
55	0.34202728512092	OFFICE EQUIPMENT
56	0.33400408427092654	TORCHES, HAND LAMPS AND LANTERNS
57	0.32668339791225254	SPUN ARTICLES
58	0.3261246812512814	WASHING, CLEANING AND DRYING MACHINES
59	0.323647150943127	BICYCLE AND MOTORCYCLE RACKS
60	0.3131837771588814	FEEDERS AND WATERERS
61	0.31181587723013177	SADDLERY
62	0.30953921036145454	MATCHES
63	0.3051462574838297	MACHINE TOOLS, ABRADING AND FOUNDING MACHINERY
64	0.3015217308831956	FIREPLACE IMPLEMENTS
65	0.2868886957785153	TOOLS AND IMPLEMENTS FOR DRILLING, MILLING OR DIGGING
66	0.28402174276393	Table cutlery
67	0.2639014453414743	OTHER VEHICLES
68	0.24539637647482754	TYPEWRITERS AND CALCULATING MACHINES
69	0.23501322675642508	KEYBOARD INSTRUMENTS
70	0.22132722617737147	CUTTING TOOLS AND IMPLEMENTS
71	0.20635536312528152	ASHTRAYS
72	0.20538923519512414	WALKING AIDS
73	0.20511538539029317	PERCUSSION INSTRUMENTS
74	0.1952084875496927	REFRIGERATION MACHINERY AND APPARATUS
75	0.18973067515170108	AMMUNITION, ROCKETS AND PYROTECHNIC ARTICLES
76	0.17101480574527447	OPTICAL ARTICLES
77	0.1630254978824532	DEVICES AND EQUIPMENT FOR ACCIDENT PREVENTION AND FOR RESCUE, NOT ELSEWHERE SPECIFIED
78	0.160008243488814	CIGAR CASES, CIGARETTE CASES, TOBACCO JARS AND POUCHES
79	0.14383124794820035	MECHANICAL INSTRUMENTS
80	0.1313899237307286	STRINGED INSTRUMENTS
81	0.12757073639714603	MACHINES AND APPLIANCES FOR PREPARING FOOD OR DRINK, NOT ELSEWHERE SPECIFIED
82	0.12036972231217827	ENGINES
83	0.11748330872428879	AGRICULTURAL AND FORESTRY MACHINERY
84	0.11670351164324164	PRINTING MACHINES
85	0.11219995856948829	PENS, CAGES, KENNELS AND SIMILAR SHELTERS
86	0.10593918997841735	POWER TRANSFORMERS, RECTIFIERS, BATTERIES AND ACCUMULATORS
87	0.10392662533857797	TYPE AND TYPE FACES
88	0.10035362040277188	FRUIT, VEGETABLES AND PRODUCTS MADE FROM FRUITS AND VEGETABLES
89	0.10032398933444646	PIPES, CIGAR AND CIGARETTE HOLDERS
90	0.09418662137195981	GLOVES
91	0.09096563476898513	PUMPS AND COMPRESSORS
92	0.0829258194409576	HABERDASHERY AND CLOTHING ACCESSORIES
93	0.060070200177709	OTHER AMUSEMENT AND ENTERTAINMENT ARTICLES
94	0.05396169864441481	APPLIANCES AND UTENSILS, HAND-OPERATED, FOR PREPARING FOOD OR DRINK
95	0.051696067049453454	FLAT-IRONS, AND WASHING, CLEANING AND DRYING EQUIPMENT
96	0.04137697961292779	PROJECTILE WEAPONS
97	0.03930030273715531	CURTAINS AND INDOOR BLINDS
98	0.03148449342935863	AUTOMATIC VENDING MACHINES
99	0.006892604017455698	TEXTILE, SEWING, KNITTING AND EMBROIDERING MACHINES, INCLUDING THEIR INTEGRAL PARTS
100	-0.004911538684220446	PROSTHETIC ARTICLES
101	-0.008576013087172945	ARTIFICIAL FLOWERS, FRUIT AND PLANTS
102	-0.0126023118830382	HANDCARTS, WHEELBARROWS
103	-0.016683169227223467	UNDERGARMENTS, LINGERIE, CORSETS, BRASSIÈRES, NIGHTWEAR
104	-0.021918886459841056	SOLID FUEL
105	-0.025792548192361545	RIBBONS, BRAIDS AND OTHER DECORATIVE TRIMMINGS
106	-0.037117856530684376	ROAD VEHICLE TRAILERS
107	-0.039613655057892626	BUTCHERS’ MEAT (INCLUDING PORK PRODUCTS), FISH
108	-0.041835483511146	VENTILATION AND AIR-CONDITIONING EQUIPMENT
109	-0.06778687694764837	AIRCRAFT AND SPACE VEHICLES
110	-0.07637816582134548	SCREEN DISPLAYS AND ICONS
111	-0.08546873705190894	PAINTBRUSHES, BRUSHES FOR USE IN COOKING
112	-0.08687370608907835	METAL FITTINGS AND MOUNTINGS FOR DOORS, WINDOWS AND FURNITURE, AND SIMILAR ARTICLES, NOT INCLUDED IN OTHER CLASSES OR SUBCLASSES
113	-0.1368591592095794	CHEESES, BUTTER AND BUTTER SUBSTITUTES, OTHER DAIRY PRODUCE
114	-0.1387500109764341	PARTS, EQUIPMENT AND ACCESSORIES FOR VEHICLES, NOT INCLUDED IN OTHER CLASSES OR SUBCLASSES
115	-0.14132416858206046	UMBRELLAS, PARASOLS, SUNSHADES AND WALKING STICKS
116	-0.1425761421606738	TRAPS, ARTICLES FOR PEST KILLING
117	-0.14279850203018035	TOILET BRUSHES, CLOTHES BRUSHES AND SHOE BRUSHES
118	-0.14945425405646937	FASTENING, SUPPORTING OR MOUNTING DEVICES NOT INCLUDED IN OTHER CLASSES
119	-0.16169846660415158	STEPS, LADDERS AND SCAFFOLDS
120	-0.1676843936704418	GYMNASTICS AND SPORTS APPARATUS AND EQUIPMENT
121	-0.17594259774400395	CLOCKS AND ALARM CLOCKS
122	-0.17917435826898212	REFUSE AND TRASH CONTAINERS AND STANDS THEREFOR
123	-0.188444654963722	BRUSHES AND BROOMS FOR CLEANING
124	-0.1943805829091693	OTHER WEAPONS
125	-0.19687353797082704	OTHER HOUSEHOLD RECEPTACLES
126	-0.20275920386938243	LOCOMOTIVES AND ROLLING STOCK FOR RAILWAYS AND ALL OTHER RAIL VEHICLES
127	-0.2324692879039814	CALENDARS
128	-0.23557753925397823	HANDLES, KNOBS AND HINGES
129	-0.23751564245084814	CLOTHES HANGERS
130	-0.23802344203605902	APPARATUS AND EQUIPMENT FOR DOCTORS, HOSPITALS AND LABORATORIES
131	-0.24624083401893973	LUMINOUS SOURCES, ELECTRIC OR NON-ELECTRIC
132	-0.24921584529383245	HAMPERS, CRATES AND BASKETS
133	-0.2547158831130324	MIRRORS AND FRAMES
134	-0.2630254119324126	PALLETS AND PLATFORMS FOR FORKLIFTS
135	-0.26602644079114485	TYRES AND ANTI-SKID CHAINS FOR VEHICLES
136	-0.27160020805251606	INSTRUMENTS, APPARATUS AND DEVICES FOR CHECKING, SECURITY OR TESTING
137	-0.27274615168186933	TOILET ARTICLES AND BEAUTY PARLOR EQUIPMENT
138	-0.2753243902617075	VEHICLES DRAWN BY ANIMALS
139	-0.27572103715448887	CHINA, GLASSWARE, DISHES AND OTHER ARTICLES OF A SIMILAR NATURE
140	-0.2880984798620273	EQUIPMENT FOR THE RECORDING OR REPRODUCTION OF SOUNDS OR PICTURES
141	-0.2896785625652103	MEDALS AND BADGES
142	-0.29463955748439186	SHIPS AND BOATS
143	-0.31001775066997367	CANDLESTICKS AND CANDELABRA
144	-0.3209764862466386	SPECIAL-PURPOSE VEHICLES
145	-0.3411395938973451	TEACHING MATERIALS AND APPARATUS
146	-0.3463238601716324	MATERIALS FOR DRESSING WOUNDS, NURSING AND MEDICAL CARE
147	-0.3491121599858994	PUBLIC LIGHTING FIXTURES, OUTDOOR LIGHTING, STAGE LIGHTING
148	-0.35042754634035367	TEXTILE FABRICS
149	-0.3621482506227318	[vacant]
150	-0.36657612228157765	SIGNALLING APPARATUS AND DEVICES
151	-0.37188484819214473	FLUID DISTRIBUTION EQUIPMENT
152	-0.3728221718495804	OTHER MEASURING INSTRUMENTS, APPARATUS AND DEVICES
153	-0.3900010166243433	TELECOMMUNICATIONS EQUIPMENT, WIRELESS REMOTE CONTROLS AND RADIO AMPLIFIERS
154	-0.3934790716923218	FANS
155	-0.4005805383698983	GENERATORS AND MOTORS
156	-0.4372200195695194	EMBROIDERY
157	-0.4433156697296022	BEDS
158	-0.4434432016881924	MEDICAL INSTRUMENTS, INSTRUMENTS AND TOOLS FOR LABORATORY USE
159	-0.44386796420419233	CYCLES AND MOTORCYCLES
160	-0.452503561690721	LOCKING OR CLOSING DEVICES
161	-0.47364468786319186	OTHER FURNITURE AND FURNITURE PARTS
162	-0.49562871811715675	COOKING APPLIANCES, UTENSILS AND CONTAINERS
163	-0.49829529239154713	CLOSING MEANS AND ATTACHMENTS
164	-0.5251452243904834	HEATING EQUIPMENT
165	-0.5327941791714016	COMPOSITE FURNITURE
166	-0.5411433096429356	FOOTWEAR, SOCKS AND STOCKINGS
167	-0.5711018215085035	CASINGS, CASES, DIALS, HANDS AND ALL OTHER PARTS AND ACCESSORIES OF INSTRUMENTS FOR MEASURING, CHECKING AND SIGNALLING
168	-0.6012891129390017	MOTOR CARS, BUSES AND LORRIES
