rank,DCI,category
1,1.4574023947552321,Japan
2,1.388386359665873,United States of America
3,1.1656696241025244,New Zealand
4,1.1604733616139218,United Kingdom
5,1.10762277358335,Korea (Republic of)
6,1.0955913538765825,Netherlands
7,1.0407413278032331,Switzerland
8,1.0406525307549404,Australia
9,1.0305233655731394,Germany
10,0.9915365741146596,Poland
11,0.9841555953889647,Sweden
12,0.979813073840743,Canada
13,0.9678241328334098,Italy
14,0.9538815075192733,China
15,0.9275021691509074,Austria
16,0.8590708815675352,Belgium
17,0.849814815467264,India
18,0.81628366883535,France
19,0.7857016629876383,Denmark
20,0.7549705472114763,Ukraine
21,0.7462736841281596,Israel
22,0.7167837336033223,Norway
23,0.71077894160743,Spain
24,0.7027281886836335,Czech Republic
25,0.6080456369911258,Turkey
26,0.5973402440270091,Ireland
27,0.5789150091408573,Portugal
28,0.5361081527163627,Malaysia
29,0.5350151032281396,Indonesia
30,0.5026230048429066,Hungary
31,0.5011457384216543,Slovenia
32,0.46387320723316083,Singapore
33,0.40337816471973503,Brazil
34,0.3925566063064877,South Africa
35,0.35034651085030716,Philippines
36,0.3418861481763161,Croatia
37,0.3388959678843365,Estonia
38,0.3069855070331346,Peru
39,0.22013774098221223,Bulgaria
40,0.2022609703511337,Viet Nam
41,0.15973993767043204,Latvia
42,0.13499414873415547,Qatar
43,0.08925317864561817,Slovakia
44,0.030980355560044186,Lithuania
45,-0.021832113964850738,Cyprus
46,-0.05116490849861543,Russian Federation
47,-0.06537898954593686,Mexico
48,-0.10069387680669556,Greece
49,-0.12858140966550546,Costa Rica
50,-0.1342570211062825,Egypt
51,-0.20535715002790506,Belarus
52,-0.2471792799976691,Kenya
53,-0.28829935844117943,Romania
54,-0.28838131673535045,Sri Lanka
55,-0.350094840308931,Colombia
56,-0.49487610647165353,North Macedonia (Republic of)
57,-0.49817719586581916,Argentina
58,-0.5061627156166659,Serbia
59,-0.5373227874505975,Bosnia and Herzegovina
60,-0.5621932814588784,Mauritius
61,-0.6037108898427316,Iran (Islamic Republic of)
62,-0.6587831612831078,United Arab Emirates
63,-0.7143006017222494,Panama
64,-0.7660234043696771,Georgia
65,-0.9083317258019873,Chile
66,-0.9820792367738859,Oman
67,-1.0030692212709564,Saudi Arabia
68,-1.2066312135537685,Albania
69,-1.2340027587668831,Cuba
70,-1.241545985171816,Moldova (Republic of)
71,-1.2652018340114053,Jordan
72,-1.3650327059703025,Morocco
73,-1.4517679094421838,Pakistan
74,-1.569415605853167,Cambodia
75,-2.102955313607658,Lebanon
76,-2.1933460379142615,Tunisia
77,-3.241398766654953,Armenia
78,-3.541114878210159,Nigeria
