rank,PCI,category
1,1.9242488775953726,Grooming articles for animals
2,1.7883169567798773,HAIR STYLING APPARATUS AND INSTRUMENTS
3,1.5952066961726425,PERCHES AND OTHER CAGE ATTACHMENTS
4,1.566726834225419,TOFU AND TOFU PRODUCTS
5,1.5451657323597128,PARTS AND ACCESSORIES FOR LIGHTING APPARATUS, NOT INCLUDED IN OTHER CLASSES OR SUBCLASSES
6,1.5324776884959879,Wigs and false beauty articles
7,1.4725983662430593,GRAPHIC SYMBOLS AND LOGOS, SURFACE PATTERNS, ORNAMENTATION
8,1.4319275265194178,PHOTOCOPYING APPARATUS AND ENLARGERS
9,1.368931938617094,Railway infrastructure components
10,1.3507416464281845,DEVELOPING APPARATUS AND EQUIPMENT
11,1.3426127476399656,TAPESTRIES
12,1.3334671223169081,FRUIT, VEGETABLES AND PRODUCTS MADE FROM FRUITS AND VEGETABLES
13,1.327228137874743,Handles and grips for the transport or handling of packages and containers
14,1.293099321167325,LACE
15,1.2813900869312895,Recording and data storage media
16,1.2325371705930455,Devices for carrying and walking with babies and children
17,1.2124101685478927,ANIMAL FOODSTUFFS
18,1.2098542463221058,Cooling and freezing devices, INSULATING containers
19,1.2081104734291126,Litter BOXES and devices for removing animal excrement
20,1.1940535568870692,HITCHING POSTS
21,1.192019270271526,Hardware for curtains
22,1.1441830777755817,SPUN ARTICLES
23,1.0768884506119731,PAINTBRUSHES, BRUSHES FOR USE IN COOKING
24,1.075989535029362,TARGETS AND ACCESSORIES
25,1.0311360000652072,WHIPS AND PRODS
26,1.0168713547595722,Toys AND TRAINING EQUIPMENT for animals
27,1.0091083096178053,MARKERS, MARKS AND SHACKLES
28,1.006681649439718,OTHER TIME-MEASURING INSTRUMENTS
29,0.9866942330306312,FIREPLACE IMPLEMENTS
30,0.9746302435448462,Machinery for filling, packing or packaging
31,0.9657780360130442,CURTAINS AND INDOOR BLINDS
32,0.9540034081759236,BOOKBINDING MACHINES, PRINTERS’ STAPLING MACHINES, GUILLOTINES AND TRIMMERS (FOR BOOKBINDING)
33,0.9164799865306152,Stands and holders for household appliances and utensils
34,0.8750371457176188,TENTS AND ACCESSORIES THEREOF
35,0.8637905665653678,Other sanitary equipment and accessories, not included in other classes or subclasses
36,0.8340732681366599,BRUSHES FOR MACHINES
37,0.8218191236611898,MATCHES
38,0.812046240749057,PROJECTORS AND VIEWERS
39,0.7941177649460136,Equipment for urination and defecation
40,0.7655343160304419,Sanitary appliances for HYGIENIC PURPOSES
41,0.7555372685457271,Holders, stands and supports for electronic equipment, not included in other classes
42,0.7383142844380433,TELPHER CARRIERS, CHAIR LIFTS AND SKI LIFTS
43,0.7341271716634291,Electronic cigarettes AND OTHER ELECTRONIC SMOKING SUPPLIES
44,0.681455551172206,ANIMAL CLOTHING
45,0.646859365860147,KEYBOARD INSTRUMENTS
46,0.6334363946749756,PHARMACEUTICAL PRODUCTS
47,0.6245334123842808,VEHICLES DRAWN BY ANIMALS
48,0.6243775847935813,TOBACCO, CIGARS AND CIGARETTES
49,0.6188784490686148,TRACTORS
50,0.6166462245591492,LUMINOUS DEVICES FOR VEHICLES
51,0.5771347298716986,TEXTILE, SEWING, KNITTING AND EMBROIDERING MACHINES, INCLUDING THEIR INTEGRAL PARTS
52,0.574255596932008,DEVICES AND EQUIPMENT AGAINST FIRE HAZARDS
53,0.5692838953367836,BRUSHES AND BROOMS FOR CLEANING
54,0.5682654875126226,TOOLS AND IMPLEMENTS FOR DRILLING, MILLING OR DIGGING
55,0.5616346841244063,INSTRUMENTS, APPARATUS AND DEVICES FOR CHECKING, SECURITY OR TESTING
56,0.5588567570257724,PERAMBULATORS, INVALID CHAIRS, STRETCHERS
57,0.5488578705009953,CHEESES, BUTTER AND BUTTER SUBSTITUTES, OTHER DAIRY PRODUCE
58,0.5438489427761515,EMBROIDERY
59,0.5428772210816314,APPLIANCES AND UTENSILS, HAND-OPERATED, FOR PREPARING FOOD OR DRINK
60,0.5377021639076252,METAL FITTINGS AND MOUNTINGS FOR DOORS, WINDOWS AND FURNITURE, AND SIMILAR ARTICLES, NOT INCLUDED IN OTHER CLASSES OR SUBCLASSES
61,0.5316740337855699,SADDLERY
62,0.5254420236100906,Solar equipment
63,0.507774542529418,PRINTING MACHINES
64,0.49174820132275776,CANDLESTICKS AND CANDELABRA
65,0.4820275913770681,ACCESSORIES
66,0.47286527900983405,BICYCLE AND MOTORCYCLE RACKS
67,0.4614145265414096,ROAD VEHICLE TRAILERS
68,0.45855369395136975,Beds, nests and furniture for animals
69,0.45047089255808437,CIGAR CASES, CIGARETTE CASES, TOBACCO JARS AND POUCHES
70,0.4475171229836159,PHOTOGRAPHIC CAMERAS AND FILM CAMERAS
71,0.4257344432352499,TRAPS, ARTICLES FOR PEST KILLING
72,0.4170949264180304,AMMUNITION, ROCKETS AND PYROTECHNIC ARTICLES
73,0.39828985373271997,OPTICAL ARTICLES
74,0.3962916923060302,SIGNALLING APPARATUS AND DEVICES
75,0.3962649909367271,PERCUSSION INSTRUMENTS
76,0.3843836941231744,HAMMERS AND OTHER SIMILAR TOOLS AND IMPLEMENTS
77,0.380191012918522,TYPEWRITERS AND CALCULATING MACHINES
78,0.37080123728934256,MACHINE TOOLS, ABRADING AND FOUNDING MACHINERY
79,0.3578598006825825,FEEDERS AND WATERERS
80,0.34325400505045495,ROPES AND HOOPING MATERIALS
81,0.34077357132405706,LOCOMOTIVES AND ROLLING STOCK FOR RAILWAYS AND ALL OTHER RAIL VEHICLES
82,0.32430122692835694,LIGHTERS
83,0.3211025716468803,MATTRESSES AND CUSHIONS
84,0.3133858095750581,Air fresheners
85,0.3064388390487761,RIBBONS, BRAIDS AND OTHER DECORATIVE TRIMMINGS
86,0.29744171422239557,WATCHES AND WRIST WATCHES
87,0.2917086015759094,HANDLES, KNOBS AND HINGES
88,0.2683119779721731,SCREWDRIVERS AND OTHER SIMILAR TOOLS AND IMPLEMENTS
89,0.23594194483693132,DEVICES AND EQUIPMENT FOR ACCIDENT PREVENTION AND FOR RESCUE, NOT ELSEWHERE SPECIFIED
90,0.2358958230106521,CALENDARS
91,0.22968770159655033,WRITING PAPER, CARDS FOR CORRESPONDENCE AND ANNOUNCEMENTS
92,0.22849072640551385,REFRIGERATION MACHINERY AND APPARATUS
93,0.22297261260544257,PROJECTILE WEAPONS
94,0.21645480275260381,OTHER TOOLS AND IMPLEMENTS
95,0.211508475565859,OTHER VEHICLES
96,0.18505080297267718,MEDALS AND BADGES
97,0.1783361020018675,CONSTRUCTION AND MINING MACHINERY
98,0.16270331077710729,AGRICULTURAL AND FORESTRY MACHINERY
99,0.14914278343329546,STEPS, LADDERS AND SCAFFOLDS
100,0.14058424039042067,MIRRORS AND FRAMES
101,0.14007146344983643,ARTIFICIAL FLOWERS, FRUIT AND PLANTS
102,0.13760513368198432,FLAT-IRONS, AND WASHING, CLEANING AND DRYING EQUIPMENT
103,0.13679063935758712,TOILET BRUSHES, CLOTHES BRUSHES AND SHOE BRUSHES
104,0.12992581391263403,COSMETIC PRODUCTS
105,0.11558965310820288,PENS, CAGES, KENNELS AND SIMILAR SHELTERS
106,0.11088744404136176,EQUIPMENT FOR THE RECORDING OR REPRODUCTION OF SOUNDS OR PICTURES
107,0.09551124784930054,HANDCARTS, WHEELBARROWS
108,0.07697655788237583,TYPE AND TYPE FACES
109,0.06340717605912706,PROSTHETIC ARTICLES
110,0.02992298034542062,TEACHING MATERIALS AND APPARATUS
111,0.027784686952387522,ELEVATORS AND HOISTS FOR LOADING OR CONVEYING
112,0.01703818262121328,SOLID FUEL
113,0.005411697579577636,OFFICE EQUIPMENT
114,-0.005884089169357848,SPECIAL-PURPOSE VEHICLES
115,-0.006302958868573805,UMBRELLAS, PARASOLS, SUNSHADES AND WALKING STICKS
116,-0.009681734416544996,ENGINES
117,-0.02320016400059855,TORCHES, HAND LAMPS AND LANTERNS
118,-0.02475091567580247,CUTTING TOOLS AND IMPLEMENTS
119,-0.026286263767012413,OTHER HOUSEHOLD RECEPTACLES
120,-0.03702728069109025,MACHINES AND APPLIANCES FOR PREPARING FOOD OR DRINK, NOT ELSEWHERE SPECIFIED
121,-0.07530641315789773,HUNTING AND FISHING EQUIPMENT
122,-0.07556297050080349,BUTCHERS’ MEAT (INCLUDING PORK PRODUCTS), FISH
123,-0.0797930833473571,Table cutlery
124,-0.0808482333908252,WASHING, CLEANING AND DRYING MACHINES
125,-0.0964802188996134,CASINGS, CASES, DIALS, HANDS AND ALL OTHER PARTS AND ACCESSORIES OF INSTRUMENTS FOR MEASURING, CHECKING AND SIGNALLING
126,-0.09949878979667594,WIND INSTRUMENTS
127,-0.10076703852944945,PALLETS AND PLATFORMS FOR FORKLIFTS
128,-0.10830382119299582,VENTILATION AND AIR-CONDITIONING EQUIPMENT
129,-0.10840240754719678,NECKTIES, SCARVES, NECKERCHIEFS AND HANDKERCHIEFS
130,-0.1122365474753635,FANS
131,-0.12499535997583455,FLAGS, FESTIVE DECORATIONS
132,-0.13320027901994763,OTHER AMUSEMENT AND ENTERTAINMENT ARTICLES
133,-0.1418873174799037,CLOTHES HANGERS
134,-0.18289801860249166,LUMINOUS SOURCES, ELECTRIC OR NON-ELECTRIC
135,-0.19778241748416356,GENERATORS AND MOTORS
136,-0.2030796862417778,GLOVES
137,-0.21051333372189449,HABERDASHERY AND CLOTHING ACCESSORIES
138,-0.23185607622705792,PARTS, EQUIPMENT AND ACCESSORIES FOR VEHICLES, NOT INCLUDED IN OTHER CLASSES OR SUBCLASSES
139,-0.2320724323682165,DISPLAY AND SALES EQUIPMENT
140,-0.23442029997622882,CARPETS, MATS AND RUGS
141,-0.24195227209654585,REFUSE AND TRASH CONTAINERS AND STANDS THEREFOR
142,-0.24904194965516407,CLOCKS AND ALARM CLOCKS
143,-0.26561287248416837,OTHER MEASURING INSTRUMENTS, APPARATUS AND DEVICES
144,-0.26888200051688865,APPARATUS AND EQUIPMENT FOR DOCTORS, HOSPITALS AND LABORATORIES
145,-0.2770252028798567,PUMPS AND COMPRESSORS
146,-0.3195108052241207,HEATING EQUIPMENT
147,-0.35192566459569236,SHIPS AND BOATS
148,-0.3687418738711779,HAMPERS, CRATES AND BASKETS
149,-0.371454486035953,COOKING APPLIANCES, UTENSILS AND CONTAINERS
150,-0.4234418551512746,LOCKING OR CLOSING DEVICES
151,-0.4362887642866995,STRINGED INSTRUMENTS
152,-0.4442906740984385,ASHTRAYS
153,-0.45415395453380664,OTHER FURNITURE AND FURNITURE PARTS
154,-0.46072993003529483,OTHER KITCHEN AND TABLE UTENSILS
155,-0.4617399793405247,UNDERGARMENTS, LINGERIE, CORSETS, BRASSIÈRES, NIGHTWEAR
156,-0.46778208542992566,PIPES, CIGAR AND CIGARETTE HOLDERS
157,-0.47866254484414805,PUBLIC LIGHTING FIXTURES, OUTDOOR LIGHTING, STAGE LIGHTING
158,-0.5008147067335831,MATERIALS FOR DRESSING WOUNDS, NURSING AND MEDICAL CARE
159,-0.5023306450279882,MATERIALS AND INSTRUMENTS FOR WRITING BY HAND, FOR DRAWING, FOR PAINTING, FOR SCULPTURE, FOR ENGRAVING AND FOR OTHER ARTISTIC TECHNIQUES
160,-0.5207011891766432,BAKERS’ PRODUCTS, BISCUITS, PASTRY, PASTA AND OTHER CEREAL PRODUCTS, CHOCOLATES, CONFECTIONERY, ICES
161,-0.5225315596156279,OTHER WEAPONS
162,-0.5276946288341862,FASTENING, SUPPORTING OR MOUNTING DEVICES NOT INCLUDED IN OTHER CLASSES
163,-0.5656860056759379,STORAGE FURNITURE
164,-0.5664550075529696,[vacant]
165,-0.5677690864042974,BOOKS AND OTHER OBJECTS OF SIMILAR OUTWARD APPEARANCE
166,-0.6015140107342494,SCREEN DISPLAYS AND ICONS
167,-0.6063488730476608,SIGNS, SIGNBOARDS AND ADVERTISING DEVICES
168,-0.6237944198374954,FLUID DISTRIBUTION EQUIPMENT
169,-0.6410121085052918,GYMNASTICS AND SPORTS APPARATUS AND EQUIPMENT
170,-0.6567412721507044,MOTOR CARS, BUSES AND LORRIES
171,-0.6611367951965431,AIRCRAFT AND SPACE VEHICLES
172,-0.6670891290640487,AUTOMATIC VENDING MACHINES
173,-0.685279362505324,GARMENTS
174,-0.6867392772174244,COMPOSITE FURNITURE
175,-0.7271987224522194,HOUSES, GARAGES AND OTHER BUILDINGS
176,-0.7802184195284558,CYCLES AND MOTORCYCLES
177,-0.8178487939145521,MEDICAL INSTRUMENTS, INSTRUMENTS AND TOOLS FOR LABORATORY USE
178,-0.8611605591928827,CLOSING MEANS AND ATTACHMENTS
179,-0.8788069087865094,BEDS
180,-1.0046158943560801,MISCELLANEOUS
181,-1.0521179902972326,POWER TRANSFORMERS, RECTIFIERS, BATTERIES AND ACCUMULATORS
182,-1.0671098746128904,HEADWEAR
183,-1.1509923832957412,TEXTILE FABRICS
184,-1.1674361114567597,STORAGE CANS, DRUMS AND CASKS
185,-1.1736224499229566,TOILET ARTICLES AND BEAUTY PARLOR EQUIPMENT
186,-1.2197228031025595,PREFABRICATED OR PRE-ASSEMBLED BUILDING PARTS
187,-1.2407010580111508,LAMPS, STANDARD LAMPS, CHANDELIERS, WALL AND CEILING FIXTURES, PHOTOGRAPHIC AND CINEMATOGRAPHIC PROJECTOR LAMPS
188,-1.3122856802255882,SEATS
189,-1.3278630852004996,TRINKETS, TABLE, MANTEL AND WALL ORNAMENTS, FLOWER VASES AND POTS
190,-1.3648336410635808,BUILDING MATERIALS
191,-1.3840531338710325,JEWELLERY
192,-1.4527355502896693,DATA PROCESSING EQUIPMENT AS WELL AS PERIPHERAL APPARATUS AND DEVICES
193,-1.472312010057691,TABLES AND SIMILAR FURNITURE
194,-1.504278575649796,TYRES AND ANTI-SKID CHAINS FOR VEHICLES
195,-1.5092875963758727,EQUIPMENT FOR DISTRIBUTION OR CONTROL OF ELECTRIC POWER
196,-1.5181128297649003,ARTIFICIAL OR NATURAL SHEET MATERIAL
197,-1.5497782252035055,CHINA, GLASSWARE, DISHES AND OTHER ARTICLES OF A SIMILAR NATURE
198,-1.5543401923863134,BLANKETS AND OTHER COVERING MATERIALS, HOUSEHOLD LINEN AND NAPERY
199,-1.7461744722000447,FOOTWEAR, SOCKS AND STOCKINGS
200,-1.8397195001668636,TRUNKS, SUITCASES, BRIEFCASES, HANDBAGS, KEYHOLDERS, CASES SPECIALLY DESIGNED FOR THEIR CONTENTS, WALLETS AND SIMILAR ARTICLES
201,-2.009947464538578,TELECOMMUNICATIONS EQUIPMENT, WIRELESS REMOTE CONTROLS AND RADIO AMPLIFIERS
202,-2.1517831122358024,GAMES AND TOYS
203,-2.2311519023061512,OTHER PRINTED MATTER
204,-2.7233817146085024,MECHANICAL INSTRUMENTS
205,-3.3269823824057183,BOTTLES, FLASKS, POTS, CARBOYS, DEMIJOHNS, AND PRESSURIZED CONTAINERS
206,-3.5198365722888783,BOXES, CASES, CONTAINERS, TIN CANS
207,-6.1833574582405255,BAGS, SACHETS, TUBES AND CAPSULES
208,nan,ARRANGEMENT OF INTERIORS AND EXTERIORS
209,nan,WALKING AIDS
