ranking,country,ECI
0,Austria,1.1752846836219495
1,Spain,1.1752846836219495
2,Poland,1.1294943712730425
3,Switzerland,1.098967496373771
4,Portugal,1.0277381216088044
5,Belgium,1.002299059192745
6,Netherlands,1.002299059192745
7,New Zealand,0.9870356217431092
8,Germany,0.9717721842934735
9,United Kingdom,0.9463331218774139
10,France,0.941245309394202
11,Denmark,0.941245309394202
12,Sweden,0.9158062469781425
13,Korea (Republic of),0.9056306220117187
14,Israel,0.9056306220117187
15,Czech Republic,0.895454997045295
16,Norway,0.8751037471124473
17,Australia,0.8700159346292354
18,Italy,0.8649281221460235
19,Hungary,0.8598403096628116
20,Romania,0.8598403096628116
21,Barbados,0.8547524971795997
22,Ukraine,0.8191378097971164
23,Malta,0.8089621848306926
24,Turkey,0.7835231224146331
25,Estonia,0.7784353099314212
26,Slovakia,0.7529962475153616
27,Bulgaria,0.7275571850993021
28,Philippines,0.7122937476496665
29,Moldova (Republic of),0.7072059351664545
30,Croatia,0.6919424977168188
31,Indonesia,0.681766872750395
32,Greece,0.681766872750395
33,United States of America,0.6614156228175474
34,Slovenia,0.6461521853679116
35,Luxembourg,0.6461521853679116
36,Ireland,0.6359765604014879
37,North Macedonia (Republic of),0.6207131229518522
38,India,0.5901862480525808
39,Peru,0.5901862480525808
40,Canada,0.5850984355693688
41,Kenya,0.5494837481868855
42,Malaysia,0.524044685770826
43,Latvia,0.5036934358379784
44,Lithuania,0.5036934358379784
45,Brazil,0.4833421859051308
46,Iceland,0.41720062362337607
47,Mexico,0.3612346863080451
48,South Africa,0.3408834363751975
49,Saint Vincent and the Grenadines,0.2950931240262904
50,Russian Federation,0.21877593677811183
51,Cyprus,0.21877593677811183
52,Belize,0.21368812429489992
53,Liechtenstein,0.20860031181168803
54,Sri Lanka,0.19333687436205232
55,United Arab Emirates,0.1882490618788404
56,Georgia,0.1831612493956285
57,Serbia,0.1628099994627809
58,Viet Nam,0.1628099994627809
59,Cuba,0.15263437449635708
60,Argentina,0.13737093704672138
61,Colombia,0.13737093704672138
62,Belarus,0.13737093704672138
63,Panama,0.13228312456350946
64,Chile,0.11701968711387377
65,Albania,0.11701968711387377
66,Singapore,0.10684406214744996
67,Monaco,0.08140499973139045
68,Egypt,0.055965937315330935
69,Qatar,0.055965937315330935
70,Tunisia,-0.005087812483211903
71,Japan,-0.010175624966423807
72,Costa Rica,-0.020351249932847613
73,China,-0.04070249986569523
74,Bosnia and Herzegovina,-0.05087812483211903
75,Cambodia,-0.05087812483211903
76,Lebanon,-0.157722186979569
77,Andorra,-0.20860031181168803
78,Iran (Islamic Republic of),-0.29000531154307846
79,Mauritius,-0.4324640610730118
80,Oman,-0.45281531100585937
81,Saudi Arabia,-0.45281531100585937
82,Morocco,-0.4833421859051308
83,Seychelles,-0.4935178108715546
84,Ecuador,-0.5291324982540379
85,Dominican Republic,-0.5342203107372498
86,Bahamas,-0.5647471856365213
87,Montenegro,-0.6461521853679116
88,Guatemala,-0.6868546852336069
89,Brunei Darussalam,-0.8852793720788711
90,Pakistan,-0.9514209343606258
91,Ghana,-0.9921234342263211
92,Algeria,-0.997211246709533
93,Jordan,-1.0379137465752282
94,Uruguay,-1.3330068706015186
95,Samoa,-1.4449387452321805
96,Ethiopia,-1.5823096822789018
97,Armenia,-1.5873974947621137
98,Venezuela (Bolivarian Republic of),-1.7603831191913184
99,Curacao,-1.775646556640954
100,Nepal,-1.785822181607378
101,Kyrgyzstan,-2.0147737433519137
102,Bahrain,-2.1012665555665158
103,Bangladesh,-2.269164367512509
104,Syrian Arab Republic,-2.309866867378204
105,Kazakhstan,-2.370920617176747
106,Nigeria,-2.3810962421431707
107,Korea (Democratic People's Republic of),-2.482852491807409
108,Yemen,-3.7904202999928676
