ranking,product,PCI
0,TOFU AND TOFU PRODUCTS,1.9906546041217987
1,ARRANGEMENT OF INTERIORS AND EXTERIORS,1.518295884499677
2,WHIPS AND PRODS,1.4170761588663652
3,Devices for carrying and walking with babies and children,1.332726387505272
4,PERCHES AND OTHER CAGE ATTACHMENTS,1.3158564332330533
5,TENTS AND ACCESSORIES THEREOF,1.2821165246886161
6,HITCHING POSTS,1.2652465704163975
7,CALENDARS,1.248376616144179
8,EMBROIDERY,1.2146367075997415
9,Railway infrastructure components,1.2146367075997415
10,FIREPLACE IMPLEMENTS,1.197766753327523
11,FRUIT, VEGETABLES AND PRODUCTS MADE FROM FRUITS AND VEGETABLES,1.197766753327523
12,TAPESTRIES,1.197766753327523
13,CHEESES, BUTTER AND BUTTER SUBSTITUTES, OTHER DAIRY PRODUCE,1.1471568905108671
14,MARKERS, MARKS AND SHACKLES,1.1471568905108671
15,BUTCHERS� MEAT (INCLUDING PORK PRODUCTS), FISH,1.1302869362386485
16,MATCHES,1.096547027694211
17,Handles and grips for the transport or handling of packages and containers,1.0796770734219925
18,ANIMAL FOODSTUFFS,1.0290672106053367
19,ANIMAL CLOTHING,1.012197256333118
20,PAINTBRUSHES, BRUSHES FOR USE IN COOKING,1.012197256333118
21,TARGETS AND ACCESSORIES,1.012197256333118
22,SPUN ARTICLES,0.961587393516462
23,Cooling and freezing devices, INSULATING containers,0.961587393516462
24,TYPE AND TYPE FACES,0.9447174392442435
25,RIBBONS, BRAIDS AND OTHER DECORATIVE TRIMMINGS,0.9447174392442435
26,Other sanitary equipment and accessories, not included in other classes or subclasses,0.9447174392442435
27,DEVELOPING APPARATUS AND EQUIPMENT,0.9447174392442435
28,TELPHER CARRIERS, CHAIR LIFTS AND SKI LIFTS,0.9278474849720248
29,OTHER TIME-MEASURING INSTRUMENTS,0.8603676678831503
30,PHARMACEUTICAL PRODUCTS,0.8434977136109316
31,WIND INSTRUMENTS,0.8434977136109316
32,SADDLERY,0.826627759338713
33,LUMINOUS DEVICES FOR VEHICLES,0.826627759338713
34,ROAD VEHICLE TRAILERS,0.8097578050664944
35,BICYCLE AND MOTORCYCLE RACKS,0.7928878507942758
36,TOBACCO, CIGARS AND CIGARETTES,0.7928878507942758
37,FLAT-IRONS, AND WASHING, CLEANING AND DRYING EQUIPMENT,0.7928878507942758
38,TRACTORS,0.7760178965220571
39,BRUSHES FOR MACHINES,0.7591479422498385
40,OTHER VEHICLES,0.7422779879776199
41,AMMUNITION, ROCKETS AND PYROTECHNIC ARTICLES,0.7422779879776199
42,KEYBOARD INSTRUMENTS,0.7422779879776199
43,FLAGS, FESTIVE DECORATIONS,0.7085380794331826
44,HAMPERS, CRATES AND BASKETS,0.691668125160964
45,PERAMBULATORS, INVALID CHAIRS, STRETCHERS,0.691668125160964
46,ARTIFICIAL FLOWERS, FRUIT AND PLANTS,0.6747981708887454
47,CIGAR CASES, CIGARETTE CASES, TOBACCO JARS AND POUCHES,0.6747981708887454
48,SOLID FUEL,0.6747981708887454
49,LOCOMOTIVES AND ROLLING STOCK FOR RAILWAYS AND ALL OTHER RAIL VEHICLES,0.6747981708887454
