rank	PCI	category
1	1.344736209462045	HITCHING POSTS
2	1.268391828573886	TOFU AND TOFU PRODUCTS
3	1.2367628828755561	Devices for carrying and walking with babies and children
4	1.1650939241375646	ARRANGEMENT OF INTERIORS AND EXTERIORS
5	1.1406180767094276	PERCHES AND OTHER CAGE ATTACHMENTS
6	1.1301052857593095	Railway infrastructure components
7	1.103222019473247	MARKERS, MARKS AND SHACKLES
8	1.0981861769579468	MATCHES
9	1.063759566680504	WHIPS AND PRODS
10	1.0505656862196504	Handles and grips for the transport or handling of packages and containers
11	1.0277852242225438	TELPHER CARRIERS, CHAIR LIFTS AND SKI LIFTS
12	1.0154665011929498	FIREPLACE IMPLEMENTS
13	1.0130559766659855	TENTS AND ACCESSORIES THEREOF
14	0.9983410610977977	Hardware for curtains
15	0.9915671037994277	PARTS AND ACCESSORIES FOR LIGHTING APPARATUS, NOT INCLUDED IN OTHER CLASSES OR SUBCLASSES
16	0.9819469874593411	DEVELOPING APPARATUS AND EQUIPMENT
17	0.9679648083944704	OTHER TIME-MEASURING INSTRUMENTS
18	0.9584673000026198	Other sanitary equipment and accessories, not included in other classes or subclasses
19	0.9461019423975234	FRUIT, VEGETABLES AND PRODUCTS MADE FROM FRUITS AND VEGETABLES
20	0.9394029958868855	CURTAINS AND INDOOR BLINDS
21	0.9374880738983462	PERAMBULATORS, INVALID CHAIRS, STRETCHERS
22	0.9125793867775285	TAPESTRIES
23	0.8857078393042329	TARGETS AND ACCESSORIES
24	0.8830230681808164	ANIMAL CLOTHING
25	0.8826075294712908	Cooling and freezing devices, INSULATING containers
26	0.875748525845744	PHOTOCOPYING APPARATUS AND ENLARGERS
27	0.8605825825632872	BUTCHERS’ MEAT (INCLUDING PORK PRODUCTS), FISH
28	0.854133631298933	CHEESES, BUTTER AND BUTTER SUBSTITUTES, OTHER DAIRY PRODUCE
29	0.8517686642765461	ANIMAL FOODSTUFFS
30	0.8404073984210991	PAINTBRUSHES, BRUSHES FOR USE IN COOKING
31	0.8357934857453311	PHARMACEUTICAL PRODUCTS
32	0.8346465318209714	SPUN ARTICLES
33	0.7758058308270647	AMMUNITION, ROCKETS AND PYROTECHNIC ARTICLES
34	0.7733034283446933	TRACTORS
35	0.7725896877365163	KEYBOARD INSTRUMENTS
36	0.7718004163187221	TOBACCO, CIGARS AND CIGARETTES
37	0.7615762629207777	CIGAR CASES, CIGARETTE CASES, TOBACCO JARS AND POUCHES
38	0.7529282057959296	BICYCLE AND MOTORCYCLE RACKS
39	0.7310413881034133	Air fresheners
40	0.7296370727623791	Litter BOXES and devices for removing animal excrement
41	0.7282462672486563	EMBROIDERY
42	0.7276620599730363	Beds, nests and furniture for animals
43	0.7133679229454539	CALENDARS
44	0.7084972505181557	TYPE AND TYPE FACES
45	0.697584996567055	RIBBONS, BRAIDS AND OTHER DECORATIVE TRIMMINGS
46	0.6964922493534039	LUMINOUS DEVICES FOR VEHICLES
47	0.6879972319766943	Grooming articles for animals
48	0.6834208341961492	LOCOMOTIVES AND ROLLING STOCK FOR RAILWAYS AND ALL OTHER RAIL VEHICLES
49	0.6816640586217523	Machinery for filling, packing or packaging
50	0.6698690116516267	BRUSHES FOR MACHINES
51	0.6604317394473384	SADDLERY
52	0.658964491912696	HAMMERS AND OTHER SIMILAR TOOLS AND IMPLEMENTS
53	0.6520785598878793	Wigs and false beauty articles
54	0.651330116811987	TOOLS AND IMPLEMENTS FOR DRILLING, MILLING OR DIGGING
55	0.6484386960532483	OTHER VEHICLES
56	0.6184247328327479	ARTIFICIAL FLOWERS, FRUIT AND PLANTS
57	0.6127863850826206	HAMPERS, CRATES AND BASKETS
58	0.6114132274903953	FLAGS, FESTIVE DECORATIONS
59	0.5911489162505731	BRUSHES AND BROOMS FOR CLEANING
60	0.5859759663231717	SOLID FUEL
61	0.5827457526555904	ROPES AND HOOPING MATERIALS
62	0.5730169869431737	TRAPS, ARTICLES FOR PEST KILLING
63	0.5690268461935761	ROAD VEHICLE TRAILERS
64	0.5457803153728088	HANDLES, KNOBS AND HINGES
65	0.544134628056392	BOOKBINDING MACHINES, PRINTERS’ STAPLING MACHINES, GUILLOTINES AND TRIMMERS (FOR BOOKBINDING)
66	0.5360049953568667	VEHICLES DRAWN BY ANIMALS
67	0.534089281888963	Stands and holders for household appliances and utensils
68	0.5278210266971569	PROJECTILE WEAPONS
69	0.5073533954082231	CLOCKS AND ALARM CLOCKS
70	0.5061089159135377	SPECIAL-PURPOSE VEHICLES
71	0.4918642553864631	PERCUSSION INSTRUMENTS
72	0.48080000356612257	Equipment for urination and defecation
73	0.45595485059971913	MIRRORS AND FRAMES
74	0.44910692711126693	Sanitary appliances for HYGIENIC PURPOSES
75	0.44515019108363185	FEEDERS AND WATERERS
76	0.4403056270266061	PENS, CAGES, KENNELS AND SIMILAR SHELTERS
77	0.42704784585816236	OTHER WEAPONS
78	0.41512425491827387	OFFICE EQUIPMENT
79	0.3896866189400035	ENGINES
80	0.3867810988833172	HUNTING AND FISHING EQUIPMENT
81	0.3712183392382843	METAL FITTINGS AND MOUNTINGS FOR DOORS, WINDOWS AND FURNITURE, AND SIMILAR ARTICLES, NOT INCLUDED IN OTHER CLASSES OR SUBCLASSES
82	0.36556152581314577	SCREWDRIVERS AND OTHER SIMILAR TOOLS AND IMPLEMENTS
83	0.365009969670877	WIND INSTRUMENTS
84	0.3623004749592362	TEACHING MATERIALS AND APPARATUS
85	0.3596828424417073	FLAT-IRONS, AND WASHING, CLEANING AND DRYING EQUIPMENT
86	0.3592433898830448	WRITING PAPER, CARDS FOR CORRESPONDENCE AND ANNOUNCEMENTS
87	0.34765911059147786	MEDALS AND BADGES
88	0.347418777799898	CARPETS, MATS AND RUGS
89	0.3160062966514684	STEPS, LADDERS AND SCAFFOLDS
90	0.3129230749603762	UMBRELLAS, PARASOLS, SUNSHADES AND WALKING STICKS
91	0.3047995102681422	MACHINES AND APPLIANCES FOR PREPARING FOOD OR DRINK, NOT ELSEWHERE SPECIFIED
92	0.3016356094780663	COSMETIC PRODUCTS
93	0.29990859450722435	STRINGED INSTRUMENTS
94	0.2953265429435384	OTHER AMUSEMENT AND ENTERTAINMENT ARTICLES
95	0.2906358545589602	GRAPHIC SYMBOLS AND LOGOS, SURFACE PATTERNS, ORNAMENTATION
96	0.2826635115086673	SIGNALLING APPARATUS AND DEVICES
97	0.27837005321382774	ASHTRAYS
98	0.2665548086374063	PUMPS AND COMPRESSORS
99	0.26205419297312826	DEVICES AND EQUIPMENT AGAINST FIRE HAZARDS
100	0.2519581637354498	PALLETS AND PLATFORMS FOR FORKLIFTS
101	0.2474966947137658	CANDLESTICKS AND CANDELABRA
102	0.23858116824908573	[vacant]
103	0.23705991459323414	CUTTING TOOLS AND IMPLEMENTS
104	0.23278749925485812	CONSTRUCTION AND MINING MACHINERY
105	0.23077637313278956	Table cutlery
106	0.22475752571687044	Recording and data storage media
107	0.20344251719543188	REFRIGERATION MACHINERY AND APPARATUS
108	0.1941607780778648	HAIR STYLING APPARATUS AND INSTRUMENTS
109	0.1899517615352229	Solar equipment
110	0.18809592384806587	MACHINE TOOLS, ABRADING AND FOUNDING MACHINERY
111	0.174595790665757	WALKING AIDS
112	0.16029355524472702	TEXTILE, SEWING, KNITTING AND EMBROIDERING MACHINES, INCLUDING THEIR INTEGRAL PARTS
113	0.15327269346113487	APPLIANCES AND UTENSILS, HAND-OPERATED, FOR PREPARING FOOD OR DRINK
114	0.1491483280139682	LACE
115	0.14815608488462395	BAKERS’ PRODUCTS, BISCUITS, PASTRY, PASTA AND OTHER CEREAL PRODUCTS, CHOCOLATES, CONFECTIONERY, ICES
116	0.14205627408567015	CLOTHES HANGERS
117	0.13814783396522967	COMPOSITE FURNITURE
118	0.13542658543362227	CLOSING MEANS AND ATTACHMENTS
119	0.10908664779593943	ELEVATORS AND HOISTS FOR LOADING OR CONVEYING
120	0.10383082833541427	BOOKS AND OTHER OBJECTS OF SIMILAR OUTWARD APPEARANCE
121	0.09959158337264173	PRINTING MACHINES
122	0.09719711362985446	REFUSE AND TRASH CONTAINERS AND STANDS THEREFOR
123	0.09249540420806077	OPTICAL ARTICLES
124	0.08847223044155798	BEDS
125	0.0865478127687162	DEVICES AND EQUIPMENT FOR ACCIDENT PREVENTION AND FOR RESCUE, NOT ELSEWHERE SPECIFIED
126	0.07643365582688766	GLOVES
127	0.07491162784541074	LOCKING OR CLOSING DEVICES
128	0.07098636337368787	FASTENING, SUPPORTING OR MOUNTING DEVICES NOT INCLUDED IN OTHER CLASSES
129	0.061068340187370194	Toys AND TRAINING EQUIPMENT for animals
130	0.05197519288608476	DISPLAY AND SALES EQUIPMENT
